Record Length,2500,Points,-49.99999874E-6,-39.99999911E-3,,Record Length,2500,Points,-49.99999874E-6,39.99999911E-3,,Record Length,2500,Points,-49.99999874E-6,0.0,,Record Length,2500,Points,-49.99999874E-6,5.11999989,
Sample Interval,100.0000012E-9,s,-49.89999798E-6,-39.99999911E-3,,Sample Interval,100.0000012E-9,s,-49.89999798E-6,39.99999911E-3,,Sample Interval,100.0000012E-9,s,-49.89999798E-6,0.0,,Sample Interval,100.0000012E-9,s,-49.89999798E-6,5.11999989,
Trigger Point,499.999981526,Samples,-49.79999721E-6,-39.99999911E-3,,Trigger Point,499.999981526,Samples,-49.79999721E-6,39.99999911E-3,,Trigger Point,499.999981526,Samples,-49.79999721E-6,0.0,,Trigger Point,499.999981526,Samples,-49.79999721E-6,5.11999989,
,,,-49.70000009E-6,-39.99999911E-3,,,,,-49.70000009E-6,39.99999911E-3,,,,,-49.70000009E-6,0.0,,,,,-49.70000009E-6,5.11999989,
,,,-49.59999933E-6,-39.99999911E-3,,,,,-49.59999933E-6,39.99999911E-3,,,,,-49.59999933E-6,0.0,,,,,-49.59999933E-6,5.11999989,
,,,-49.49999857E-6,-39.99999911E-3,,,,,-49.49999857E-6,39.99999911E-3,,,,,-49.49999857E-6,0.0,,,,,-49.49999857E-6,5.11999989,
Source,CH1,,-49.39999781E-6,-39.99999911E-3,,Source,CH2,,-49.39999781E-6,39.99999911E-3,,Source,CH3,,-49.39999781E-6,0.0,,Source,CH4,,-49.39999781E-6,5.11999989,
Vertical Units,Volts,,-49.29999704E-6,-39.99999911E-3,,Vertical Units,Volts,,-49.29999704E-6,39.99999911E-3,,Vertical Units,Volts,,-49.29999704E-6,0.0,,Vertical Units,Volts,,-49.29999704E-6,5.11999989,
Vertical Scale,999.999977648E-3,,-49.19999992E-6,-39.99999911E-3,,Vertical Scale,499.999988824E-3,,-49.19999992E-6,39.99999911E-3,,Vertical Scale,999.999977648E-3,,-49.19999992E-6,0.0,,Vertical Scale,2.0000000,,-49.19999992E-6,5.11999989,
Vertical Offset,0,,-49.09999916E-6,-39.99999911E-3,,Vertical Offset,0,,-49.09999916E-6,39.99999911E-3,,Vertical Offset,0,,-49.09999916E-6,0.0,,Vertical Offset,0,,-49.09999916E-6,5.11999989,
