  Time                 , V(VG)                , V(VD)                , V(VMAX)              , I(Liman)             
  0.000000000000e+000  ,-1.874583247715e-001  ,4.999999747096e+000  ,3.200255135483e-002  ,7.438354657552e-006  
  5.000000000000e-011  ,-1.874583247557e-001  ,4.999999747225e+000  ,3.200255135483e-002  ,7.438354657554e-006  
  5.297077349387e-011  ,-1.874583245249e-001  ,4.999999769166e+000  ,3.200255135483e-002  ,7.438354657549e-006  
  5.891232048161e-011  ,-1.874583244705e-001  ,4.999999729252e+000  ,3.200255135483e-002  ,7.438354657539e-006  
  7.079541445710e-011  ,-1.874583245484e-001  ,4.999999759316e+000  ,3.200255135483e-002  ,7.438354657525e-006  
  9.456160240807e-011  ,-1.874583245985e-001  ,4.999999732162e+000  ,3.200255135483e-002  ,7.438354657516e-006  
  1.420939783100e-010  ,-1.874583243173e-001  ,4.999999761839e+000  ,3.200255135483e-002  ,7.438354657514e-006  
  2.274496922735e-010  ,-1.874583232813e-001  ,4.999999734479e+000  ,3.200255135483e-002  ,7.438354657438e-006  
  3.630269760732e-010  ,-1.874583181972e-001  ,4.999999749977e+000  ,3.200255135483e-002  ,7.438354656738e-006  
  5.854268068913e-010  ,-1.874582408026e-001  ,4.999999793944e+000  ,3.200255135484e-002  ,7.438354642710e-006  
  8.865233952645e-010  ,-1.874570051351e-001  ,5.000000457316e+000  ,3.200255135512e-002  ,7.438354084955e-006  
  1.207736551249e-009  ,-1.874507297688e-001  ,5.000003782433e+000  ,3.200255135698e-002  ,7.438349449578e-006  
  1.522802978242e-009  ,-1.874325561807e-001  ,5.000013274544e+000  ,3.200255136374e-002  ,7.438330340041e-006  
  2.032422691071e-009  ,-1.873495039573e-001  ,5.000055718777e+000  ,3.200255140693e-002  ,7.438198037981e-006  
  2.761089473451e-009  ,-1.869731300774e-001  ,5.000239760567e+000  ,3.200255166967e-002  ,7.437101576456e-006  
  3.663913577283e-009  ,-1.857176507605e-001  ,5.000804444616e+000  ,3.200255281775e-002  ,7.429219804746e-006  
  4.497261017049e-009  ,-1.836106777420e-001  ,5.001695656020e+000  ,3.200255535323e-002  ,7.410090063686e-006  
  6.101743548596e-009  ,-1.764357119505e-001  ,5.004321882681e+000  ,3.200256709807e-002  ,7.281715660508e-006  
  7.626691132272e-009  ,-1.658927662119e-001  ,5.007525933539e+000  ,3.200258907514e-002  ,6.956699932667e-006  
  1.000000030000e-008  ,-1.420550467047e-001  ,5.012917008349e+000  ,3.200265617856e-002  ,5.712464262982e-006  
  1.028751820524e-008  ,-1.384407445621e-001  ,5.013577306103e+000  ,3.200266895400e-002  ,5.476683982948e-006  
