  Time                 , V(VG)                , V(VD)                , V(VMAX)              , I(Liman)             
  0.000000000000e+000  ,-1.874436216648e-001  ,4.999999747096e+000  ,3.200007438352e-002  ,7.438354771239e-006  
  5.000000000000e-011  ,-1.874436215343e-001  ,4.999999747590e+000  ,3.200007438353e-002  ,7.438354771224e-006  
  5.297150108963e-011  ,-1.874436211124e-001  ,4.999999794953e+000  ,3.200007438352e-002  ,7.438354771215e-006  
  5.891450326890e-011  ,-1.874436213942e-001  ,4.999999664266e+000  ,3.200007438352e-002  ,7.438354771202e-006  
  7.080050762743e-011  ,-1.874436218340e-001  ,4.999999806928e+000  ,3.200007438352e-002  ,7.438354771204e-006  
  9.457251634449e-011  ,-1.874436215657e-001  ,4.999999755565e+000  ,3.200007438352e-002  ,7.438354771223e-006  
  1.421165337786e-010  ,-1.874436201139e-001  ,4.999999743275e+000  ,3.200007438352e-002  ,7.438354771234e-006  
  2.332697307691e-010  ,-1.874436182012e-001  ,4.999999753943e+000  ,3.200007438353e-002  ,7.438354771060e-006  
  3.670775016770e-010  ,-1.874436140172e-001  ,4.999999746268e+000  ,3.200007438353e-002  ,7.438354770083e-006  
  6.122016033158e-010  ,-1.874435134528e-001  ,4.999999811259e+000  ,3.200007438355e-002  ,7.438354748279e-006  
  9.756502380595e-010  ,-1.874410403456e-001  ,5.000001125834e+000  ,3.200007438419e-002  ,7.438353255340e-006  
  1.335187317990e-009  ,-1.874317919150e-001  ,5.000006015364e+000  ,3.200007438754e-002  ,7.438345990890e-006  
  1.748880805634e-009  ,-1.873962673868e-001  ,5.000024498584e+000  ,3.200007440320e-002  ,7.438305543810e-006  
  2.312610360049e-009  ,-1.872441454558e-001  ,5.000101318711e+000  ,3.200007449001e-002  ,7.438015000469e-006  
  3.139904203080e-009  ,-1.865776398177e-001  ,5.000419471168e+000  ,3.200007501529e-002  ,7.435530124650e-006  
  4.104381861351e-009  ,-1.847529020341e-001  ,5.001225387782e+000  ,3.200007694754e-002  ,7.423037533017e-006  
  5.162178041600e-009  ,-1.811175078037e-001  ,5.002675769852e+000  ,3.200008197441e-002  ,7.379718896701e-006  
  6.640559496544e-009  ,-1.730886637282e-001  ,5.005416512245e+000  ,3.200009657038e-002  ,7.203909231572e-006  
  8.582553329132e-009  ,-1.574251735454e-001  ,5.009631676490e+000  ,3.200013236248e-002  ,6.592568744881e-006  
  1.000000030000e-008  ,-1.421055930556e-001  ,5.012841492587e+000  ,3.200017964193e-002  ,5.742132038319e-006  
  1.030051946838e-008  ,-1.383079793935e-001  ,5.013515607767e+000  ,3.200019308692e-002  ,5.495446035897e-006  
  1.047262788017e-008  ,-1.360907039942e-001  ,5.013900248180e+000  ,3.200020101710e-002  ,5.348737568928e-006  
  1.081684470374e-008  ,-1.315088010885e-001  ,5.014663741867e+000  ,3.200021737797e-002  ,5.036096325407e-006  
  1.150527835090e-008  ,-1.216578733431e-001  ,5.016147544764e+000  ,3.200025206957e-002  ,4.315111338280e-006  
  1.288214564521e-008  ,-9.961439540459e-002  ,5.018705198972e+000  ,3.200032864920e-002  ,2.455420888743e-006  
  1.509049773414e-008  ,-5.989332996041e-002  ,5.020758456760e+000  ,3.200046540377e-002  ,-1.777158699552e-006  
  1.727351784904e-008  ,-1.683597792632e-002  ,5.020319176424e+000  ,3.200060716611e-002  ,-7.418137930058e-006  
  2.084644377429e-008  ,6.113032544919e-002  ,5.016841973710e+000  ,3.200109824773e-002  ,-1.898274780516e-005  
  2.468349278171e-008  ,1.527219866218e-001  ,5.011354422490e+000  ,3.200177876837e-002  ,-3.342448883932e-005  
  2.968357742030e-008  ,2.738300079553e-001  ,5.004856273859e+000  ,3.200347897156e-002  ,-5.157848616572e-005  
  3.468366205890e-008  ,3.858724999671e-001  ,4.999693585247e+000  ,3.200686434525e-002  ,-6.528053306221e-005  
  3.952504933078e-008  ,4.823298362567e-001  ,4.996045875466e+000  ,3.201322599584e-002  ,-7.308385266893e-005  
  4.398720205028e-008  ,5.577429143576e-001  ,4.993802221907e+000  ,3.202260725735e-002  ,-7.457903091696e-005  
  4.848660767276e-008  ,6.211664797262e-001  ,4.992527193669e+000  ,3.203736412811e-002  ,-7.095414134286e-005  
  5.348669231136e-008  ,6.788693485952e-001  ,4.992078827018e+000  ,3.206266472577e-002  ,-6.252683210621e-005  
  5.848677694995e-008  ,7.246546723009e-001  ,4.992541368575e+000  ,3.210016205441e-002  ,-5.075568000677e-005  
  6.348686158855e-008  ,7.610966200671e-001  ,4.993695342656e+000  ,3.215030378709e-002  ,-3.793382730371e-005  
  6.848694622714e-008  ,7.900744555057e-001  ,4.995315000959e+000  ,3.222285603599e-002  ,-2.589413495303e-005  
  7.348703086574e-008  ,8.130635909643e-001  ,4.997158278777e+000  ,3.230894638235e-002  ,-1.603348400391e-005  
  7.848711550433e-008  ,8.312175136999e-001  ,4.998998806273e+000  ,3.243019132052e-002  ,-9.212923360248e-006  
  8.348720014293e-008  ,8.454412731587e-001  ,5.000649273804e+000  ,3.256280330622e-002  ,-5.753672551140e-006  
  8.848728478153e-008  ,8.564700694808e-001  ,5.001976424150e+000  ,3.274444693282e-002  ,-5.506233519211e-006  
  9.348736942012e-008  ,8.650112591469e-001  ,5.002908826106e+000  ,3.293354180904e-002  ,-7.845690308069e-006  
  9.848745405872e-008  ,8.714139994603e-001  ,5.003443554087e+000  ,3.318256316207e-002  ,-1.228575587321e-005  
  1.034875386973e-007  ,8.762482022075e-001  ,5.003606598683e+000  ,3.344143310104e-002  ,-1.793487002427e-005  
  1.084876233359e-007  ,8.799789329052e-001  ,5.003482973031e+000  ,3.375472203233e-002  ,-2.392112450320e-005  
  1.134877079745e-007  ,8.828976107371e-001  ,5.003151548489e+000  ,3.408644350123e-002  ,-2.971854121132e-005  
  1.184877926131e-007  ,8.852122859327e-001  ,5.002676507006e+000  ,3.446430264408e-002  ,-3.498213654654e-005  
  1.234878772517e-007  ,8.872543780448e-001  ,5.002172124588e+000  ,3.486830795478e-002  ,-3.924861185069e-005  
  1.284879618903e-007  ,8.891562321238e-001  ,5.001694503418e+000  ,3.530875062691e-002  ,-4.245604921500e-005  
