  Time                 , V(VG)                , V(VD)                , V(VMAX)              , -I(Riman)            
  0.000000000000e+000  ,-1.482716781692e-001  ,4.999999991818e+000  ,2.540093981644e-002  ,7.438363702761e-006  
  1.000000000000e-010  ,-1.482716776610e-001  ,4.999999991816e+000  ,2.540093985918e-002  ,7.438352156441e-006  
  1.055486452766e-010  ,-1.482716776482e-001  ,4.999999993173e+000  ,2.540093987008e-002  ,7.438369031831e-006  
  1.166459358297e-010  ,-1.482716775615e-001  ,4.999999993274e+000  ,2.540093989164e-002  ,7.438357485512e-006  
  1.388405169360e-010  ,-1.482716773616e-001  ,4.999999991459e+000  ,2.540093991115e-002  ,7.438362814582e-006  
  1.832296791486e-010  ,-1.482716769041e-001  ,4.999999992527e+000  ,2.540093995605e-002  ,7.438360150047e-006  
  2.720080035739e-010  ,-1.482716752780e-001  ,4.999999993356e+000  ,2.540094019642e-002  ,7.438360150047e-006  
  4.495646524243e-010  ,-1.482716550654e-001  ,4.999999999671e+000  ,2.540094199660e-002  ,7.438313964769e-006  
  7.751550245099e-010  ,-1.482711272126e-001  ,5.000000204018e+000  ,2.540098952188e-002  ,7.436522508897e-006  
  1.087427483778e-009  ,-1.482675809473e-001  ,5.000001631505e+000  ,2.540141837751e-002  ,7.418776704071e-006  
  1.433693217020e-009  ,-1.482557383560e-001  ,5.000006456184e+000  ,2.540308588850e-002  ,7.348659458728e-006  
  1.935676084738e-009  ,-1.481956353638e-001  ,5.000031035169e+000  ,2.541416657693e-002  ,6.878184244385e-006  
  2.544109122735e-009  ,-1.479739082252e-001  ,5.000120303934e+000  ,2.546821232960e-002  ,4.577103140946e-006  
  3.569122748356e-009  ,-1.468596586896e-001  ,5.000540300639e+000  ,2.586525921761e-002  ,-1.234303237396e-005  
  5.241964356881e-009  ,-1.420849204949e-001  ,5.002075388367e+000  ,2.842763400030e-002  ,-1.216790916914e-004  
  7.137019531708e-009  ,-1.316971818747e-001  ,5.004689936918e+000  ,3.592434531617e-002  ,-4.420317187837e-004  
  9.514127271157e-009  ,-1.109728474430e-001  ,5.008171731221e+000  ,5.379019775261e-002  ,-1.205968161777e-003  
  1.000000030000e-008  ,-1.056404750557e-001  ,5.008839878084e+000  ,5.862051825824e-002  ,-1.412494398778e-003  
  1.019283063907e-008  ,-1.034069982588e-001  ,5.009097499402e+000  ,6.064188270241e-002  ,-1.498899211860e-003  
  1.057849131722e-008  ,-9.873191404345e-002  ,5.009599046326e+000  ,6.485792604418e-002  ,-1.679064440374e-003  
  1.134981267352e-008  ,-8.852150899452e-002  ,5.010533480283e+000  ,7.394596199235e-002  ,-2.067067238265e-003  
  1.289245538611e-008  ,-6.502021641417e-002  ,5.011902671673e+000  ,9.426842544783e-002  ,-2.931851146748e-003  
  1.495403103728e-008  ,-2.917617820490e-002  ,5.012082923283e+000  ,1.230775190071e-001  ,-4.144170881126e-003  
  1.709048502345e-008  ,1.234995316055e-002  ,5.010318250916e+000  ,1.521158184651e-001  ,-5.339842639174e-003  
  2.047900907893e-008  ,8.590669333023e-002  ,5.005768483696e+000  ,1.872941148089e-001  ,-6.665876355783e-003  
  2.416332118411e-008  ,1.747709208925e-001  ,5.000342130768e+000  ,2.093351149389e-001  ,-7.227634991835e-003  
  3.010590426821e-008  ,3.200516233879e-001  ,4.994291178011e+000  ,2.190540934089e-001  ,-6.524034972699e-003  
  3.485043399234e-008  ,4.290212552063e-001  ,4.991660961970e+000  ,2.131367193701e-001  ,-4.980971614721e-003  
  3.957782738108e-008  ,5.256258026006e-001  ,4.990651889441e+000  ,2.024408835883e-001  ,-2.995014630969e-003  
  4.436035506625e-008  ,6.089338921852e-001  ,4.990929364180e+000  ,1.903467077065e-001  ,-7.927855687484e-004  
  4.834567062754e-008  ,6.662587372129e-001  ,4.991701807985e+000  ,1.819381735534e-001  ,9.172875881092e-004  
  5.295385472674e-008  ,7.199858106586e-001  ,4.993009340115e+000  ,1.736290465717e-001  ,2.678130643474e-003  
  5.939115636248e-008  ,7.774726994349e-001  ,4.995096100238e+000  ,1.616083494447e-001  ,4.580209679972e-003  
  6.669049017329e-008  ,8.223359791799e-001  ,4.997614488408e+000  ,1.445142408924e-001  ,5.908697170653e-003  
  7.717047684092e-008  ,8.644486028414e-001  ,5.000871103082e+000  ,1.064651303959e-001  ,6.327049542065e-003  
  8.877997152705e-008  ,8.896355266736e-001  ,5.003650953394e+000  ,4.643455078577e-002  ,5.011726417870e-003  
  9.941642038722e-008  ,9.043037986400e-001  ,5.005031826344e+000  ,9.243784465087e-003  ,2.810670181042e-003  
  1.009026249518e-007  ,9.057592992645e-001  ,5.005134394735e+000  ,9.243792492364e-003  ,2.432784900641e-003  
  1.038750340809e-007  ,9.084914670395e-001  ,5.005265997500e+000  ,9.243796298094e-003  ,1.659691532652e-003  
  1.098198523392e-007  ,9.133696979387e-001  ,5.005242790275e+000  ,9.243796300967e-003  ,9.771282449833e-005  
  1.217094888558e-007  ,9.215291058847e-001  ,5.004245335478e+000  ,9.243796289290e-003  ,-2.665176196182e-003  
  1.359296669831e-007  ,9.293049842273e-001  ,5.001987537286e+000  ,9.243796300972e-003  ,-4.743116550188e-003  
  1.557750334610e-007  ,9.375168756697e-001  ,4.998294945475e+000  ,9.243796300953e-003  ,-4.878795102137e-003  
