  Time                 , V(VG)                , V(VD)                , V(VMAX)              , I(Liman)             
  0.000000000000e+000  ,-1.874583247716e-001  ,4.999999747096e+000  ,3.200255135483e-002  ,7.438354771239e-006  
  5.000000000000e-011  ,-1.874583247504e-001  ,4.999999747332e+000  ,3.200255135484e-002  ,7.438354771237e-006  
  5.297077349387e-011  ,-1.874583238041e-001  ,4.999999857208e+000  ,3.200255135483e-002  ,7.438354771220e-006  
  5.891232048161e-011  ,-1.874583240415e-001  ,4.999999600161e+000  ,3.200255135483e-002  ,7.438354771188e-006  
  7.079541445710e-011  ,-1.874583244254e-001  ,4.999999869379e+000  ,3.200255135483e-002  ,7.438354771157e-006  
  9.456160240807e-011  ,-1.874583244944e-001  ,4.999999623902e+000  ,3.200255135483e-002  ,7.438354771132e-006  
  1.420939783100e-010  ,-1.874583242975e-001  ,4.999999869149e+000  ,3.200255135483e-002  ,7.438354771093e-006  
  2.274496922735e-010  ,-1.874583232841e-001  ,4.999999627171e+000  ,3.200255135483e-002  ,7.438354770986e-006  
  3.630269760732e-010  ,-1.874583182341e-001  ,4.999999749832e+000  ,3.200255135481e-002  ,7.438354770256e-006  
  5.854268068913e-010  ,-1.874582408265e-001  ,4.999999794104e+000  ,3.200255135483e-002  ,7.438354756184e-006  
  8.865699613933e-010  ,-1.874570039232e-001  ,5.000000459237e+000  ,3.200255135510e-002  ,7.438354196869e-006  
  1.207736551249e-009  ,-1.874507276087e-001  ,5.000003788693e+000  ,3.200255135696e-002  ,7.438349554017e-006  
  1.522802978242e-009  ,-1.874348746885e-001  ,5.000012121572e+000  ,3.200255136324e-002  ,7.438334835476e-006  
  2.105065851891e-009  ,-1.873307399027e-001  ,5.000065250015e+000  ,3.200255141832e-002  ,7.438161409185e-006  
  2.732963531697e-009  ,-1.870037236534e-001  ,5.000225942297e+000  ,3.200255164083e-002  ,7.437262590497e-006  
  3.595927029336e-009  ,-1.858612280773e-001  ,5.000744794672e+000  ,3.200255265944e-002  ,7.430643066243e-006  
  4.372929453338e-009  ,-1.840026065661e-001  ,5.001540379498e+000  ,3.200255481870e-002  ,7.415096770918e-006  
  5.913895785296e-009  ,-1.774796230133e-001  ,5.003967783018e+000  ,3.200256515627e-002  ,7.307263978963e-006  
  7.355769395316e-009  ,-1.680184328688e-001  ,5.006916417586e+000  ,3.200258431616e-002  ,7.038485312257e-006  
  1.000000030000e-008  ,-1.419813660261e-001  ,5.012806005985e+000  ,3.200265648822e-002  ,5.707554201707e-006  
  1.027451694209e-008  ,-1.385326006679e-001  ,5.013424862264e+000  ,3.200266872188e-002  ,5.484636378530e-006  
  1.082353159983e-008  ,-1.312852851103e-001  ,5.014648548345e+000  ,3.200269446807e-002  ,4.992604028023e-006  
  1.192156091530e-008  ,-1.152015529818e-001  ,5.016938793766e+000  ,3.200275088534e-002  ,3.768668710056e-006  
  1.411761954624e-008  ,-7.793846677912e-002  ,5.020143893731e+000  ,3.200287962684e-002  ,2.440170158648e-007  
  1.634422555764e-008  ,-3.549310456570e-002  ,5.020710680660e+000  ,3.200302251598e-002  ,-4.883743801968e-006  
  1.909386232693e-008  ,2.198411899415e-002  ,5.018472218704e+000  ,3.200324889260e-002  ,-1.315560018641e-005  
  2.303596452076e-008  ,1.126832615634e-001  ,5.013674946350e+000  ,3.200396239874e-002  ,-2.711586893166e-005  
  2.718817308743e-008  ,2.139280411894e-001  ,5.007966433136e+000  ,3.200466761396e-002  ,-4.285524234600e-005  
  3.218825772602e-008  ,3.319017147113e-001  ,5.002076750109e+000  ,3.200764124441e-002  ,-5.930631051919e-005  
  3.649841860134e-008  ,4.239156723480e-001  ,4.998168492541e+000  ,3.201052316045e-002  ,-6.901755105907e-005  
  4.109542682965e-008  ,5.102474121568e-001  ,4.995167660397e+000  ,3.201894282198e-002  ,-7.415692727046e-005  
  4.609551146824e-008  ,5.885967640032e-001  ,4.993123606923e+000  ,3.202939173673e-002  ,-7.322612633879e-005  
  5.082215979893e-008  ,6.490631004401e-001  ,4.992237780792e+000  ,3.205144784097e-002  ,-6.704276027278e-005  
  5.469571665127e-008  ,6.902520228932e-001  ,4.992168093381e+000  ,3.207094937768e-002  ,-5.935497500661e-005  
  5.969580128987e-008  ,7.336571715767e-001  ,4.992824566521e+000  ,3.211424445658e-002  ,-4.717361269563e-005  
  6.469588592846e-008  ,7.682464757516e-001  ,4.994116022093e+000  ,3.216414035872e-002  ,-3.448096458492e-005  
  6.969597056706e-008  ,7.959724069391e-001  ,4.995771252583e+000  ,3.224496239005e-002  ,-2.318243493519e-005  
  7.469605520565e-008  ,8.177274969615e-001  ,4.997629658263e+000  ,3.233061159161e-002  ,-1.405002232581e-005  
  7.969613984425e-008  ,8.348798148365e-001  ,4.999434409939e+000  ,3.246237246978e-002  ,-8.077499787582e-006  
  8.469622448284e-008  ,8.484000266307e-001  ,5.000993793623e+000  ,3.260139671176e-002  ,-5.409967581963e-006  
  8.969630912144e-008  ,8.587477592972e-001  ,5.002234210445e+000  ,3.278811452365e-002  ,-5.847682549774e-006  
  9.469639376004e-008  ,8.666583428327e-001  ,5.003072303922e+000  ,3.299079986645e-002  ,-8.844018300875e-006  
  9.969647839863e-008  ,8.727229619733e-001  ,5.003517182389e+000  ,3.323829179927e-002  ,-1.351726745934e-005  
  1.046965630372e-007  ,8.772388608880e-001  ,5.003602559647e+000  ,3.351096056461e-002  ,-1.934148762184e-005  
  1.096966476758e-007  ,8.806845260142e-001  ,5.003405796732e+000  ,3.382219878691e-002  ,-2.544261991041e-005  
  1.146967323144e-007  ,8.834367485618e-001  ,5.003032015681e+000  ,3.416717192449e-002  ,-3.113860813858e-005  
  1.196968169530e-007  ,8.856705064558e-001  ,5.002540931792e+000  ,3.454239138684e-002  ,-3.615890975129e-005  
  1.246969015916e-007  ,8.876503986839e-001  ,5.002029087092e+000  ,3.495846478517e-002  ,-4.015415096960e-005  
  1.296969862302e-007  ,8.895441165057e-001  ,5.001567998919e+000  ,3.539561891339e-002  ,-4.306417148164e-005  
  1.346970708688e-007  ,8.914130481717e-001  ,5.001184611840e+000  ,3.587879189605e-002  ,-4.494731938616e-005  
  1.396971555074e-007  ,8.933379677759e-001  ,5.000912914576e+000  ,3.637405023082e-002  ,-4.601032642664e-005  
  1.446972401460e-007  ,8.953284816733e-001  ,5.000752624825e+000  ,3.691820708077e-002  ,-4.646642033166e-005  
  1.496973247846e-007  ,8.973784191068e-001  ,5.000693331191e+000  ,3.746900601657e-002  ,-4.654877269621e-005  
  1.546974094232e-007  ,8.994687832456e-001  ,5.000716088105e+000  ,3.806376647734e-002  ,-4.647899896913e-005  
  1.596974940618e-007  ,9.015734886806e-001  ,5.000796762488e+000  ,3.866596867172e-002  ,-4.644453462143e-005  
  1.646975787004e-007  ,9.036651250518e-001  ,5.000909693022e+000  ,3.930010352741e-002  ,-4.658460235086e-005  
  1.696976633390e-007  ,9.057195902048e-001  ,5.001030916716e+000  ,3.994431018412e-002  ,-4.698452419959e-005  
  1.746977479776e-007  ,9.077225620332e-001  ,5.001144817852e+000  ,4.060978411399e-002  ,-4.767486095884e-005  
  1.796978326162e-007  ,9.096567499125e-001  ,5.001229908099e+000  ,4.128551326954e-002  ,-4.866606132606e-005  
  1.846979172548e-007  ,9.115206023077e-001  ,5.001277917518e+000  ,4.197358895680e-002  ,-4.990306062816e-005  
  1.896980018934e-007  ,9.133203536568e-001  ,5.001287042628e+000  ,4.266945886614e-002  ,-5.130875974775e-005  
  1.946980865319e-007  ,9.150677947468e-001  ,5.001260718158e+000  ,4.337083350761e-002  ,-5.279848162369e-005  
  1.996981711705e-007  ,9.167778002491e-001  ,5.001206026777e+000  ,4.407479834207e-002  ,-5.429211005067e-005  
  2.046982558091e-007  ,9.184659727797e-001  ,5.001132011823e+000  ,4.477977814341e-002  ,-5.572294641140e-005  
  2.096983404477e-007  ,9.201485592304e-001  ,5.001049525348e+000  ,4.547941010134e-002  ,-5.703885605874e-005  
  2.146984250863e-007  ,9.218330218500e-001  ,5.000964125545e+000  ,4.617810351852e-002  ,-5.822350684352e-005  
