  Time                 , V(VG)                , V(VD)                , V(VMAX)              , -I(Riman)            
  0.000000000000e+000  ,-1.874480320901e-001  ,1.593834961620e+000  ,3.200081737353e-002  ,3.406165002635e-008  
  5.000000000000e-011  ,-1.874480300942e-001  ,1.593834962943e+000  ,3.200081737356e-002  ,3.406165002628e-008  
  5.297077349387e-011  ,-1.874480299009e-001  ,1.593834978155e+000  ,3.200081737353e-002  ,3.406165002624e-008  
  5.891232048161e-011  ,-1.874480299423e-001  ,1.593834924924e+000  ,3.200081737353e-002  ,3.406165002629e-008  
  7.079541445710e-011  ,-1.874480297163e-001  ,1.593835005177e+000  ,3.200081737353e-002  ,3.406165002625e-008  
  9.456160240807e-011  ,-1.874480295706e-001  ,1.593834918978e+000  ,3.200081737353e-002  ,3.406165002624e-008  
  1.420939783100e-010  ,-1.874480287590e-001  ,1.593835007260e+000  ,3.200081737353e-002  ,3.406165002617e-008  
  2.274496922735e-010  ,-1.874480266535e-001  ,1.593834921477e+000  ,3.200081737353e-002  ,3.406165002593e-008  
  3.630036930088e-010  ,-1.874480209131e-001  ,1.593834967211e+000  ,3.200081737353e-002  ,3.406165002531e-008  
  5.854500899557e-010  ,-1.874479465897e-001  ,1.593835008851e+000  ,3.200081737354e-002  ,3.406165001936e-008  
  6.286634574179e-010  ,-1.874479128487e-001  ,1.593835026420e+000  ,3.200081737355e-002  ,3.406165001692e-008  
  7.150901923422e-010  ,-1.874478035711e-001  ,1.593835086085e+000  ,3.200081737357e-002  ,3.406165000839e-008  
  8.879436621908e-010  ,-1.874472626173e-001  ,1.593835380610e+000  ,3.200081737368e-002  ,3.406164996096e-008  
  1.146013147617e-009  ,-1.874440802473e-001  ,1.593837090041e+000  ,3.200081737449e-002  ,3.406164958078e-008  
  1.437936208630e-009  ,-1.874338956314e-001  ,1.593842508303e+000  ,3.200081737794e-002  ,3.406164812175e-008  
  1.870861507440e-009  ,-1.873858039522e-001  ,1.593867573346e+000  ,3.200081739915e-002  ,3.406163906155e-008  
  1.941083229566e-009  ,-1.873728478307e-001  ,1.593874276925e+000  ,3.200081740532e-002  ,3.406163642317e-008  
  2.081526673818e-009  ,-1.873402308612e-001  ,1.593891064164e+000  ,3.200081742166e-002  ,3.406162940995e-008  
  2.362413562322e-009  ,-1.872396646531e-001  ,1.593942039386e+000  ,3.200081747754e-002  ,3.406160478226e-008  
  2.924187339330e-009  ,-1.868451227870e-001  ,1.594135275521e+000  ,3.200081775636e-002  ,3.406148302021e-008  
  4.047734893346e-009  ,-1.848700389185e-001  ,1.595006016083e+000  ,3.200081976935e-002  ,3.406051515070e-008  
  5.355684317136e-009  ,-1.802574168531e-001  ,1.596830841291e+000  ,3.200082640743e-002  ,3.405745171296e-008  
  7.661639011884e-009  ,-1.654674680448e-001  ,1.601510994387e+000  ,3.200085644779e-002  ,3.404314383740e-008  
  1.000000030000e-008  ,-1.416066320948e-001  ,1.607134070643e+000  ,3.200092478265e-002  ,3.401407829954e-008  
  1.029567659099e-008  ,-1.378399482661e-001  ,1.607867714024e+000  ,3.200093838613e-002  ,3.400913506257e-008  
  1.045472320367e-008  ,-1.357774842565e-001  ,1.608262411078e+000  ,3.200094592689e-002  ,3.400642110384e-008  
  1.077281642903e-008  ,-1.315275206886e-001  ,1.609051395906e+000  ,3.200096147762e-002  ,3.400080692185e-008  
  1.140900287975e-008  ,-1.224304527769e-001  ,1.610614618444e+000  ,3.200099444841e-002  ,3.398871054417e-008  
  1.268137578119e-008  ,-1.021695903980e-001  ,1.613458672664e+000  ,3.200106744312e-002  ,3.396148857316e-008  
  1.484129909624e-008  ,-6.315309402078e-002  ,1.616713891820e+000  ,3.200120826950e-002  ,3.390910161529e-008  
  1.723368052591e-008  ,-1.556217360523e-002  ,1.617667945116e+000  ,3.200137804403e-002  ,3.385212609913e-008  
  2.056595269788e-008  ,5.738783643343e-002  ,1.616043513235e+000  ,3.200186361430e-002  ,3.379167144427e-008  
  2.420444373239e-008  ,1.437666969124e-001  ,1.611849748524e+000  ,3.200257851923e-002  ,3.376385855983e-008  
  2.920452837099e-008  ,2.635793716334e-001  ,1.604551517362e+000  ,3.200417333759e-002  ,3.380883983029e-008  
  3.420461300958e-008  ,3.746609631706e-001  ,1.596145225882e+000  ,3.200785157826e-002  ,3.393036055742e-008  
  3.920469764818e-008  ,4.718091812095e-001  ,1.587977258332e+000  ,3.201438443455e-002  ,3.408478625358e-008  
  4.333529953111e-008  ,5.409980836305e-001  ,1.582606546422e+000  ,3.202387294289e-002  ,3.419874823143e-008  
  4.736308340181e-008  ,5.996381743189e-001  ,1.579118568049e+000  ,3.203529479057e-002  ,3.428074164265e-008  
  5.236093286623e-008  ,6.617485881228e-001  ,1.577633207959e+000  ,3.206322373488e-002  ,3.432764202554e-008  
  5.736101750482e-008  ,7.131600819340e-001  ,1.579238398909e+000  ,3.209847836212e-002  ,3.431198843544e-008  
  6.236110214342e-008  ,7.554172192404e-001  ,1.583298899656e+000  ,3.215394945483e-002  ,3.424344886107e-008  
  6.736118678201e-008  ,7.893332508406e-001  ,1.588537876651e+000  ,3.222497063374e-002  ,3.414812119802e-008  
  7.236127142061e-008  ,8.155334849446e-001  ,1.593597528128e+000  ,3.231944126665e-002  ,3.405420443177e-008  
  7.736135605920e-008  ,8.349924745059e-001  ,1.597336535728e+000  ,3.243984071487e-002  ,3.398549503660e-008  
  8.236144069780e-008  ,8.484536141727e-001  ,1.599449143198e+000  ,3.258314254285e-002  ,3.394849745433e-008  
  8.736152533639e-008  ,8.573717178328e-001  ,1.599747041423e+000  ,3.276359421744e-002  ,3.394735648436e-008  
  9.236160997499e-008  ,8.633954328848e-001  ,1.598757682625e+000  ,3.296289845237e-002  ,3.397142739646e-008  
  9.736169461359e-008  ,8.673853072920e-001  ,1.596923193809e+000  ,3.321034307300e-002  ,3.401174103426e-008  
  1.023617792522e-007  ,8.706561654871e-001  ,1.595013439013e+000  ,3.347013690378e-002  ,3.405267741729e-008  
  1.073618638908e-007  ,8.739575212276e-001  ,1.593617566334e+000  ,3.378817737793e-002  ,3.408235483829e-008  
  1.123619485294e-007  ,8.774634864724e-001  ,1.592902998643e+000  ,3.411453755118e-002  ,3.409747409156e-008  
  1.173620331680e-007  ,8.812752256036e-001  ,1.592987748691e+000  ,3.450027449584e-002  ,3.409584246506e-008  
  1.223621178066e-007  ,8.851280622596e-001  ,1.593631955624e+000  ,3.489793671540e-002  ,3.408257534821e-008  
  1.273622024452e-007  ,8.887797162913e-001  ,1.594561298037e+000  ,3.534557134513e-002  ,3.406339871690e-008  
  1.323622870838e-007  ,8.920252886271e-001  ,1.595497637057e+000  ,3.581234702040e-002  ,3.404408288582e-008  
  1.373623717224e-007  ,8.947639337193e-001  ,1.596263338749e+000  ,3.631886350896e-002  ,3.402829595433e-008  
  1.423624563609e-007  ,8.969222215700e-001  ,1.596640395186e+000  ,3.685014782410e-002  ,3.402052030674e-008  
  1.473625409995e-007  ,8.986395726726e-001  ,1.596628839158e+000  ,3.741081265328e-002  ,3.402071621703e-008  
  1.523626256381e-007  ,9.000407369075e-001  ,1.596295584316e+000  ,3.799972507721e-002  ,3.402748705135e-008  
  1.573627102767e-007  ,9.013502667425e-001  ,1.595792589551e+000  ,3.860828719311e-002  ,3.403768119647e-008  
  1.623627949153e-007  ,9.027397830012e-001  ,1.595282252869e+000  ,3.924606194145e-002  ,3.404795495270e-008  
  1.673628795539e-007  ,9.043136247175e-001  ,1.594893091038e+000  ,3.989507796536e-002  ,3.405567818195e-008  
  1.723629641925e-007  ,9.060987056689e-001  ,1.594693831139e+000  ,4.057155261977e-002  ,3.405946113759e-008  
  1.773630488311e-007  ,9.080428515785e-001  ,1.594680154521e+000  ,4.125270528777e-002  ,3.405942332820e-008  
  1.823631334697e-007  ,9.100928256810e-001  ,1.594817950518e+000  ,4.195672765541e-002  ,3.405628072604e-008  
  1.873632181083e-007  ,9.121516168646e-001  ,1.595031701030e+000  ,4.266269519930e-002  ,3.405160591225e-008  
  1.923633027469e-007  ,9.141449596376e-001  ,1.595243258534e+000  ,4.338076251663e-002  ,3.404701082309e-008  
  1.973633873855e-007  ,9.160303770760e-001  ,1.595392320422e+000  ,4.409982689227e-002  ,3.404373147081e-008  
  2.023634720241e-007  ,9.178016339333e-001  ,1.595448220306e+000  ,4.482185207259e-002  ,3.404238858785e-008  
  2.073635566627e-007  ,9.194826710351e-001  ,1.595411410773e+000  ,4.554157088567e-002  ,3.404296121487e-008  
  2.123636413013e-007  ,9.211149448017e-001  ,1.595306508482e+000  ,4.625758584032e-002  ,3.404493308387e-008  
  2.173637259399e-007  ,9.227429512480e-001  ,1.595170589400e+000  ,4.696535190868e-002  ,3.404753566968e-008  
