  Time                 , V(VOUT)              
  0.000000000000e+000  ,3.295710028022e-002  
  1.000000000000e-011  ,3.295710026080e-002  
  2.000000000000e-011  ,3.295710024785e-002  
  4.000015228987e-011  ,3.295710023880e-002  
  4.500019036233e-011  ,3.295710023732e-002  
  5.500026650727e-011  ,3.295710023603e-002  
  7.500041879714e-011  ,3.295710023520e-002  
  1.150007233769e-010  ,3.295710022660e-002  
  1.950013325363e-010  ,3.295710028978e-002  
  3.550025508553e-010  ,3.295710083249e-002  
  6.750049874932e-010  ,3.295710249669e-002  
  1.315009860769e-009  ,3.295710380607e-002  
  2.315064041391e-009  ,3.295710236496e-002  
  3.315118222013e-009  ,3.295710414893e-002  
  4.315172402635e-009  ,3.295712560263e-002  
  5.315226583257e-009  ,3.295721241346e-002  
  6.315280763879e-009  ,3.295743552820e-002  
  7.315334944502e-009  ,3.295799952399e-002  
  8.315389125124e-009  ,3.295928570061e-002  
  9.315443305746e-009  ,3.296193691860e-002  
  1.031549748637e-008  ,3.296686483245e-002  
  1.131555166699e-008  ,3.297508844092e-002  
  1.231560584761e-008  ,3.298729315300e-002  
  1.331566002823e-008  ,3.300297684046e-002  
  1.431571420886e-008  ,3.301905735519e-002  
  1.531576838948e-008  ,3.302788359565e-002  
  1.631582257010e-008  ,3.301010596216e-002  
  1.731587675072e-008  ,3.293914184955e-002  
  1.831593093134e-008  ,3.277385814990e-002  
  1.931598511197e-008  ,3.245535473856e-002  
  2.031603929259e-008  ,3.192659671755e-002  
  2.131609347321e-008  ,3.105011278024e-002  
  2.231614765383e-008  ,2.970054957379e-002  
  2.331620183446e-008  ,2.776110325499e-002  
  2.431625601508e-008  ,2.500920126028e-002  
  2.531631019570e-008  ,2.117085078372e-002  
  2.631636437632e-008  ,1.606629523878e-002  
  2.731641855694e-008  ,9.357838082715e-003  
  2.831647273757e-008  ,7.134765030832e-004  
  2.931652691819e-008  ,-1.022996644501e-002  
  3.031658109881e-008  ,-2.386301248740e-002  
  3.131663527943e-008  ,-4.059759276906e-002  
  3.231668946005e-008  ,-6.093570265031e-002  
  3.243303493269e-008  ,-6.353843780493e-002  
  3.266572587796e-008  ,-6.890813512210e-002  
  3.288428400315e-008  ,-7.415576366601e-002  
  3.292012828074e-008  ,-7.503532055599e-002  
  3.299181683592e-008  ,-7.681081895292e-002  
  3.300973897472e-008  ,-7.725811108889e-002  
  3.304558325231e-008  ,-7.815682386203e-002  
  3.311727180749e-008  ,-7.997085487199e-002  
  3.321258103147e-008  ,-8.241712513649e-002  
  3.337903165862e-008  ,-8.678488260237e-002  
  3.357693770573e-008  ,-9.213918883658e-002  
  3.397274979994e-008  ,-1.033879863334e-001  
  3.476437398836e-008  ,-1.281593949555e-001  
  3.488938076094e-008  ,-1.323503504254e-001  
  3.513939430609e-008  ,-1.409742123304e-001  
  3.563942139640e-008  ,-1.592200072259e-001  
  3.576442816898e-008  ,-1.639907289135e-001  
  3.579567986213e-008  ,-1.651968522417e-001  
  3.585818324842e-008  ,-1.676253321510e-001  
  3.598319002099e-008  ,-1.725476903268e-001  
  3.600000000000e-008  ,-1.732162693862e-001  
  3.650000000965e-008  ,-1.737144591212e-001  
  3.650312503344e-008  ,-1.738391448770e-001  
  3.650937508104e-008  ,-1.740886813543e-001  
  3.652187517622e-008  ,-1.745884148005e-001  
  3.654687536658e-008  ,-1.755905264668e-001  
  3.655264083539e-008  ,-1.758221312179e-001  
  3.656417177302e-008  ,-1.762859045698e-001  
  3.658723364827e-008  ,-1.772157091703e-001  
  3.660000000000e-008  ,-1.777317164814e-001  
  3.662553279046e-008  ,-1.787665104426e-001  
  3.667329799701e-008  ,-1.807123032465e-001  
  3.671693628039e-008  ,-1.825013595764e-001  
  3.677023703549e-008  ,-1.847013359674e-001  
  3.683492902983e-008  ,-1.873934272997e-001  
  3.690151859391e-008  ,-1.901897284870e-001  
  3.703469772208e-008  ,-1.958597220329e-001  
  3.730105597842e-008  ,-2.075130494049e-001  
  3.769789252747e-008  ,-2.256672246217e-001  
  3.813114378918e-008  ,-2.465894514441e-001  
  3.874730680455e-008  ,-2.784086720539e-001  
  3.934335325230e-008  ,-3.115644767749e-001  
  4.001241538990e-008  ,-3.516624039821e-001  
  4.078513373006e-008  ,-4.018714133394e-001  
  4.128953803647e-008  ,-4.369928071737e-001  
  4.190104443897e-008  ,-4.821075256496e-001  
  4.202605121154e-008  ,-4.916786510374e-001  
  4.227606475670e-008  ,-5.111821968800e-001  
  4.277609184701e-008  ,-5.516514024453e-001  
  4.287802510280e-008  ,-5.601410251183e-001  
  4.308189161438e-008  ,-5.773673636827e-001  
  4.348962463755e-008  ,-6.128174584503e-001  
  4.357351351846e-008  ,-6.202763428942e-001  
  4.374129128028e-008  ,-6.353649701202e-001  
  4.407684680391e-008  ,-6.662295962069e-001  
  4.416073568482e-008  ,-6.740894401351e-001  
  4.432851344664e-008  ,-6.899827534414e-001  
  4.466406897027e-008  ,-7.224675782752e-001  
  4.533518001754e-008  ,-7.902573901037e-001  
  4.633523419816e-008  ,-8.983265803953e-001  
  4.646024097074e-008  ,-9.124336090468e-001  
  4.671025451589e-008  ,-9.410505535218e-001  
  4.721028160620e-008  ,-9.999022234881e-001  
  4.733528837878e-008  ,-1.014952923124e+000  
  4.758530192394e-008  ,-1.045461281699e+000  
  4.808532901425e-008  ,-1.108110689472e+000  
  4.891802452821e-008  ,-1.217287914423e+000  
  4.991807870883e-008  ,-1.356430175460e+000  
  5.091813288946e-008  ,-1.504338488924e+000  
  5.092911521988e-008  ,-1.506011417999e+000  
  5.095107988073e-008  ,-1.509360442401e+000  
  5.099500920242e-008  ,-1.516071151541e+000  
