  Time                 , V(VOUT)              
  0.000000000000e+000  ,-1.321238528247e-001  
  1.000000000000e-011  ,-1.321238436367e-001  
  2.000000000000e-011  ,-1.321238357605e-001  
  3.543958205730e-011  ,-1.321238252722e-001  
  6.631874617189e-011  ,-1.321238101595e-001  
  1.280770744011e-010  ,-1.321237935529e-001  
  2.375424015149e-010  ,-1.321237797149e-001  
  4.067404302582e-010  ,-1.321237284169e-001  
  7.041117283329e-010  ,-1.321234421803e-001  
  1.298854324482e-009  ,-1.321219338101e-001  
  2.298908505104e-009  ,-1.321175958037e-001  
  3.298962685727e-009  ,-1.321125645033e-001  
  4.299016866349e-009  ,-1.321077113906e-001  
  5.299071046971e-009  ,-1.321036307998e-001  
  6.299125227593e-009  ,-1.320996736148e-001  
  7.299179408215e-009  ,-1.320957118280e-001  
  8.299233588837e-009  ,-1.320918620903e-001  
  9.299287769459e-009  ,-1.320885765372e-001  
  1.029934195008e-008  ,-1.320861497717e-001  
  1.129939613070e-008  ,-1.320846567594e-001  
  1.229945031133e-008  ,-1.320838860350e-001  
  1.329950449195e-008  ,-1.320830390325e-001  
  1.429955867257e-008  ,-1.320796288527e-001  
  1.529961285319e-008  ,-1.320711367428e-001  
  1.629966703381e-008  ,-1.320517245666e-001  
  1.729972121444e-008  ,-1.320113841716e-001  
  1.829977539506e-008  ,-1.319422950260e-001  
  1.929982957568e-008  ,-1.318283537409e-001  
  2.029988375630e-008  ,-1.316469159962e-001  
  2.129993793692e-008  ,-1.313760899277e-001  
  2.229999211755e-008  ,-1.309883642243e-001  
  2.330004629817e-008  ,-1.304510595615e-001  
  2.430010047879e-008  ,-1.297263760919e-001  
  2.530015465941e-008  ,-1.287713711229e-001  
  2.630020884003e-008  ,-1.275379796018e-001  
  2.730026302066e-008  ,-1.259869832033e-001  
  2.830031720128e-008  ,-1.240382941446e-001  
  2.930037138190e-008  ,-1.216347870749e-001  
  3.030042556252e-008  ,-1.187280324237e-001  
  3.130047974315e-008  ,-1.152204617661e-001  
  3.230053392377e-008  ,-1.110618734752e-001  
  3.330058810439e-008  ,-1.061489448534e-001  
  3.430064228501e-008  ,-1.004096810765e-001  
  3.530069646563e-008  ,-9.378482619434e-002  
  3.630075064626e-008  ,-8.617301538505e-002  
  3.730080482688e-008  ,-7.749000761480e-002  
  3.830085900750e-008  ,-6.765165426941e-002  
  3.930091318812e-008  ,-5.656051096934e-002  
  4.030096736874e-008  ,-4.416185235816e-002  
  4.130102154937e-008  ,-3.035904053154e-002  
  4.230107572999e-008  ,-1.505878896401e-002  
  4.330112991061e-008  ,1.790009614667e-003  
  4.430118409123e-008  ,2.027820590639e-002  
  4.530123827185e-008  ,4.044700542373e-002  
  4.630129245248e-008  ,6.236979953888e-002  
  4.642629922505e-008  ,6.523598542331e-002  
  4.664790743168e-008  ,7.038723697777e-002  
  4.689806067523e-008  ,7.631046007912e-002  
  4.715822563644e-008  ,8.259355215991e-002  
  4.728428014692e-008  ,8.568303859172e-002  
  4.731897191282e-008  ,8.653849468834e-002  
  4.737786642414e-008  ,8.799590842432e-002  
  4.746321049657e-008  ,9.011938315362e-002  
  4.756549299832e-008  ,9.268232838474e-002  
  4.766558689203e-008  ,9.520948417488e-002  
  4.786577467944e-008  ,1.003205900176e-001  
  4.800000000000e-008  ,1.037900597371e-001  
  4.810000000000e-008  ,1.063971287726e-001  
