  Time                 , V(VOUT)              
  0.000000000000e+000  ,-1.317533122443e+001  
  1.000000000000e-011  ,-1.317533122469e+001  
  2.000000000000e-011  ,-1.317533122492e+001  
  4.000015228987e-011  ,-1.317533122528e+001  
  8.000045686960e-011  ,-1.317533122579e+001  
  1.600010660291e-010  ,-1.317533122626e+001  
  3.200022843480e-010  ,-1.317533122650e+001  
  6.400047209859e-010  ,-1.317533122639e+001  
  1.280009594262e-009  ,-1.317533122656e+001  
  2.048350718319e-009  ,-1.317533122692e+001  
  3.048404898942e-009  ,-1.317533122788e+001  
  4.048459079564e-009  ,-1.317533122941e+001  
  5.048513260186e-009  ,-1.317533123138e+001  
  6.048567440808e-009  ,-1.317533123366e+001  
  7.048621621430e-009  ,-1.317533123623e+001  
  8.048675802052e-009  ,-1.317533123905e+001  
  9.048729982674e-009  ,-1.317533124210e+001  
  1.004878416330e-008  ,-1.317533124536e+001  
  1.104883834392e-008  ,-1.317533124879e+001  
  1.204889252454e-008  ,-1.317533125236e+001  
  1.304894670516e-008  ,-1.317533125606e+001  
  1.404900088578e-008  ,-1.317533125987e+001  
  1.504905506641e-008  ,-1.317533126376e+001  
  1.604910924703e-008  ,-1.317533126775e+001  
  1.704916342765e-008  ,-1.317533127180e+001  
  1.804921760827e-008  ,-1.317533127591e+001  
  1.904927178890e-008  ,-1.317533128008e+001  
  2.004932596952e-008  ,-1.317533128429e+001  
  2.104938015014e-008  ,-1.317533128854e+001  
  2.204943433076e-008  ,-1.317533129282e+001  
  2.304948851138e-008  ,-1.317533129714e+001  
  2.404954269201e-008  ,-1.317533130147e+001  
  2.504959687263e-008  ,-1.317533130583e+001  
  2.604965105325e-008  ,-1.317533131021e+001  
  2.704970523387e-008  ,-1.317533131460e+001  
  2.804975941449e-008  ,-1.317533131901e+001  
  2.904981359512e-008  ,-1.317533132343e+001  
  3.004986777574e-008  ,-1.317533132786e+001  
  3.104992195636e-008  ,-1.317533133230e+001  
  3.204997613698e-008  ,-1.317533133674e+001  
  3.305003031760e-008  ,-1.317533134120e+001  
  3.405008449823e-008  ,-1.317533134565e+001  
  3.505013867885e-008  ,-1.317533135012e+001  
  3.605019285947e-008  ,-1.317533135458e+001  
  3.705024704009e-008  ,-1.317533135905e+001  
  3.805030122072e-008  ,-1.317533136352e+001  
  3.905035540134e-008  ,-1.317533136800e+001  
  4.005040958196e-008  ,-1.317533137247e+001  
  4.105046376258e-008  ,-1.317533137695e+001  
  4.205051794320e-008  ,-1.317533138143e+001  
  4.305057212383e-008  ,-1.317533138591e+001  
  4.405062630445e-008  ,-1.317533139039e+001  
  4.505068048507e-008  ,-1.317533139488e+001  
  4.605073466569e-008  ,-1.317533139936e+001  
  4.705078884631e-008  ,-1.317533140384e+001  
  4.805084302694e-008  ,-1.317533140832e+001  
  4.905089720756e-008  ,-1.317533141281e+001  
