  Time                 , V(VOUT)              
  0.000000000000e+000  ,-1.317533122442e+001  
  1.000000000000e-011  ,-1.317533122469e+001  
  2.000000000000e-011  ,-1.317533122492e+001  
  4.000015228987e-011  ,-1.317533122528e+001  
  8.000045686960e-011  ,-1.317533122581e+001  
  1.600010660291e-010  ,-1.317533122631e+001  
  3.200022843480e-010  ,-1.317533122653e+001  
  6.400047209859e-010  ,-1.317533122650e+001  
  1.280009594262e-009  ,-1.317533122649e+001  
  2.119969424307e-009  ,-1.317533122699e+001  
  3.120023604929e-009  ,-1.317533122799e+001  
  4.120077785552e-009  ,-1.317533122953e+001  
  5.120131966174e-009  ,-1.317533123150e+001  
  6.120186146796e-009  ,-1.317533123382e+001  
  7.120240327418e-009  ,-1.317533123642e+001  
  8.120294508040e-009  ,-1.317533123926e+001  
  9.120348688662e-009  ,-1.317533124233e+001  
  1.012040286928e-008  ,-1.317533124560e+001  
  1.112045704991e-008  ,-1.317533124903e+001  
  1.212051123053e-008  ,-1.317533125262e+001  
  1.312056541115e-008  ,-1.317533125633e+001  
  1.412061959177e-008  ,-1.317533126014e+001  
  1.512067377239e-008  ,-1.317533126405e+001  
  1.612072795302e-008  ,-1.317533126804e+001  
  1.712078213364e-008  ,-1.317533127209e+001  
  1.812083631426e-008  ,-1.317533127621e+001  
  1.912089049488e-008  ,-1.317533128038e+001  
  2.012094467551e-008  ,-1.317533128459e+001  
  2.112099885613e-008  ,-1.317533128885e+001  
  2.212105303675e-008  ,-1.317533129313e+001  
  2.312110721737e-008  ,-1.317533129745e+001  
  2.412116139799e-008  ,-1.317533130179e+001  
  2.512121557862e-008  ,-1.317533130615e+001  
  2.612126975924e-008  ,-1.317533131052e+001  
  2.712132393986e-008  ,-1.317533131492e+001  
  2.812137812048e-008  ,-1.317533131933e+001  
  2.912143230110e-008  ,-1.317533132375e+001  
  3.012148648173e-008  ,-1.317533132818e+001  
  3.112154066235e-008  ,-1.317533133262e+001  
  3.212159484297e-008  ,-1.317533133706e+001  
  3.312164902359e-008  ,-1.317533134152e+001  
  3.412170320421e-008  ,-1.317533134597e+001  
  3.512175738484e-008  ,-1.317533135044e+001  
  3.612181156546e-008  ,-1.317533135490e+001  
  3.712186574608e-008  ,-1.317533135937e+001  
  3.812191992670e-008  ,-1.317533136384e+001  
  3.912197410733e-008  ,-1.317533136832e+001  
  4.012202828795e-008  ,-1.317533137280e+001  
  4.112208246857e-008  ,-1.317533137727e+001  
  4.212213664919e-008  ,-1.317533138175e+001  
  4.312219082981e-008  ,-1.317533138623e+001  
  4.412224501044e-008  ,-1.317533139071e+001  
  4.512229919106e-008  ,-1.317533139520e+001  
  4.612235337168e-008  ,-1.317533139968e+001  
  4.712240755230e-008  ,-1.317533140416e+001  
  4.812246173292e-008  ,-1.317533140864e+001  
  4.912251591355e-008  ,-1.317533141313e+001  
  5.012257009417e-008  ,-1.317533141761e+001  
  5.112262427479e-008  ,-1.317533142209e+001  
  5.212267845541e-008  ,-1.317533142657e+001  
  5.312273263603e-008  ,-1.317533143106e+001  
  5.412278681666e-008  ,-1.317533143554e+001  
  5.512284099728e-008  ,-1.317533144002e+001  
  5.612289517790e-008  ,-1.317533144450e+001  
  5.712294935852e-008  ,-1.317533144898e+001  
  5.812300353914e-008  ,-1.317533145346e+001  
  5.912305771977e-008  ,-1.317533145794e+001  
  6.012311190039e-008  ,-1.317533146242e+001  
  6.112316608101e-008  ,-1.317533146689e+001  
  6.212322026163e-008  ,-1.317533147137e+001  
  6.312327444226e-008  ,-1.317533147585e+001  
  6.412332862288e-008  ,-1.317533148032e+001  
  6.512338280350e-008  ,-1.317533148480e+001  
  6.612343698412e-008  ,-1.317533148928e+001  
  6.712349116474e-008  ,-1.317533149375e+001  
  6.812354534537e-008  ,-1.317533149822e+001  
  6.912359952599e-008  ,-1.317533150269e+001  
  7.012365370661e-008  ,-1.317533150717e+001  
  7.112370788723e-008  ,-1.317533151164e+001  
  7.212376206785e-008  ,-1.317533151611e+001  
  7.312381624848e-008  ,-1.317533152058e+001  
  7.412387042910e-008  ,-1.317533152505e+001  
  7.512392460972e-008  ,-1.317533152952e+001  
  7.612397879034e-008  ,-1.317533153398e+001  
  7.712403297096e-008  ,-1.317533153845e+001  
  7.812408715159e-008  ,-1.317533154292e+001  
  7.912414133221e-008  ,-1.317533154738e+001  
  8.012419551283e-008  ,-1.317533155184e+001  
  8.112424969345e-008  ,-1.317533155631e+001  
  8.212430387408e-008  ,-1.317533156077e+001  
  8.312435805470e-008  ,-1.317533156523e+001  
  8.412441223532e-008  ,-1.317533156969e+001  
  8.512446641594e-008  ,-1.317533157416e+001  
  8.612452059656e-008  ,-1.317533157861e+001  
  8.712457477719e-008  ,-1.317533158307e+001  
  8.812462895781e-008  ,-1.317533158753e+001  
  8.912468313843e-008  ,-1.317533159199e+001  
  9.012473731905e-008  ,-1.317533159645e+001  
  9.112479149967e-008  ,-1.317533160090e+001  
  9.212484568030e-008  ,-1.317533160536e+001  
  9.312489986092e-008  ,-1.317533160981e+001  
  9.412495404154e-008  ,-1.317533161426e+001  
  9.512500822216e-008  ,-1.317533161872e+001  
  9.612506240278e-008  ,-1.317533162317e+001  
  9.712511658341e-008  ,-1.317533162762e+001  
  9.812517076403e-008  ,-1.317533163207e+001  
  9.912522494465e-008  ,-1.317533163652e+001  
  1.001252791253e-007  ,-1.317533164097e+001  
  1.011253333059e-007  ,-1.317533164542e+001  
  1.021253874865e-007  ,-1.317533164986e+001  
  1.031254416671e-007  ,-1.317533165431e+001  
  1.041254958478e-007  ,-1.317533165876e+001  
  1.051255500284e-007  ,-1.317533166320e+001  
  1.061256042090e-007  ,-1.317533166765e+001  
