  Time                 , V(VOUT)              
  0.000000000000e+000  ,-2.038159447982e-001  
  1.000000000000e-011  ,-2.038159447982e-001  
  2.000000000000e-011  ,-2.038159447927e-001  
  4.000015228987e-011  ,-2.038159447676e-001  
  8.000045686960e-011  ,-2.038159447009e-001  
  1.600010660291e-010  ,-2.038159444904e-001  
  3.200022843480e-010  ,-2.038159438733e-001  
  6.400047209859e-010  ,-2.038159416323e-001  
  1.280009594262e-009  ,-2.038158856442e-001  
  2.089142647088e-009  ,-2.038155429302e-001  
  3.089196827710e-009  ,-2.038141403792e-001  
  4.089251008332e-009  ,-2.038112419457e-001  
  5.089305188954e-009  ,-2.038069443507e-001  
  6.089359369576e-009  ,-2.038017144401e-001  
  7.089413550198e-009  ,-2.037958281427e-001  
  8.089467730820e-009  ,-2.037895953494e-001  
  9.089521911442e-009  ,-2.037830698272e-001  
  1.008957609206e-008  ,-2.037763497691e-001  
  1.108963027269e-008  ,-2.037695181283e-001  
  1.208968445331e-008  ,-2.037625810910e-001  
  1.308973863393e-008  ,-2.037551377436e-001  
  1.408979281455e-008  ,-2.037465758330e-001  
  1.508984699517e-008  ,-2.037353039674e-001  
  1.608990117580e-008  ,-2.037181587854e-001  
  1.708995535642e-008  ,-2.036924920374e-001  
  1.809000953704e-008  ,-2.036514382075e-001  
  1.909006371766e-008  ,-2.035882327508e-001  
  2.009011789829e-008  ,-2.034964188974e-001  
  2.109017207891e-008  ,-2.033611495809e-001  
  2.209022625953e-008  ,-2.031732317234e-001  
  2.309028044015e-008  ,-2.029149255169e-001  
  2.409033462077e-008  ,-2.025642711543e-001  
  2.509038880140e-008  ,-2.021018342047e-001  
  2.609044298202e-008  ,-2.015105955355e-001  
  2.709049716264e-008  ,-2.007597968358e-001  
  2.809055134326e-008  ,-1.998154640280e-001  
  2.909060552388e-008  ,-1.986565994504e-001  
  3.009065970451e-008  ,-1.972390101484e-001  
  3.109071388513e-008  ,-1.955388529747e-001  
  3.209076806575e-008  ,-1.935131863591e-001  
  3.309082224637e-008  ,-1.911163152030e-001  
  3.409087642699e-008  ,-1.883121244818e-001  
  3.509093060762e-008  ,-1.850607776469e-001  
  3.609098478824e-008  ,-1.813312344059e-001  
  3.709103896886e-008  ,-1.770711077921e-001  
  3.809109314948e-008  ,-1.722306652798e-001  
  3.909114733011e-008  ,-1.667816707475e-001  
  4.009120151073e-008  ,-1.606751053130e-001  
  4.109125569135e-008  ,-1.538633035223e-001  
  4.209130987197e-008  ,-1.463198615349e-001  
  4.309136405259e-008  ,-1.379935167076e-001  
  4.409141823322e-008  ,-1.288523588848e-001  
  4.509147241384e-008  ,-1.188635607613e-001  
  4.609152659446e-008  ,-1.080032992776e-001  
  4.709158077508e-008  ,-9.622896353599e-002  
  4.809163495570e-008  ,-8.352341434440e-002  
  4.909168913633e-008  ,-6.985763249247e-002  
  5.009174331695e-008  ,-5.520921948872e-002  
  5.109179749757e-008  ,-3.955710599909e-002  
  5.209185167819e-008  ,-2.288390486976e-002  
  5.309190585881e-008  ,-5.180552294457e-003  
  5.409196003944e-008  ,1.355694202916e-002  
  5.509201422006e-008  ,3.333003429351e-002  
  5.592741056949e-008  ,5.064458011114e-002  
  5.605241734207e-008  ,5.329791104946e-002  
  5.625910110444e-008  ,5.772055234070e-002  
  5.645258336931e-008  ,6.190099962583e-002  
  5.649015641443e-008  ,6.271733407843e-002  
  5.656530250467e-008  ,6.435440894197e-002  
  5.658408902723e-008  ,6.476459551133e-002  
  5.662166207235e-008  ,6.558606966527e-002  
  5.664249750458e-008  ,6.604223552962e-002  
  5.665174961228e-008  ,6.624494362076e-002  
  5.666255004376e-008  ,6.648168711961e-002  
  5.667602802765e-008  ,6.677729214973e-002  
  5.670298399542e-008  ,6.736906857579e-002  
  5.674822298948e-008  ,6.836391725647e-002  
  5.679516746800e-008  ,6.939851903657e-002  
  5.688905642506e-008  ,7.147458855843e-002  
  5.701091998395e-008  ,7.418287423633e-002  
  5.716591534343e-008  ,7.764972465258e-002  
  5.730600954171e-008  ,8.080469034053e-002  
  5.750000000000e-008  ,8.520692932347e-002  
  5.760000000000e-008  ,8.749142533312e-002  
  5.810000000965e-008  ,9.673244349189e-002  
  5.820000000965e-008  ,9.906844202052e-002  
  5.824108879749e-008  ,1.000312530175e-001  
  5.832326637317e-008  ,1.019620727786e-001  
  5.840551379804e-008  ,1.039014683254e-001  
  5.857000864778e-008  ,1.078010493735e-001  
  5.870000000000e-008  ,1.109022603959e-001  
  5.880000000000e-008  ,1.132997125042e-001  
  5.930000000965e-008  ,1.257876885281e-001  
  5.982694232237e-008  ,1.388636988386e-001  
  5.993073822331e-008  ,1.414724203033e-001  
  6.013833002519e-008  ,1.467223685947e-001  
  6.055351362895e-008  ,1.573516374938e-001  
  6.065730952989e-008  ,1.600358414830e-001  
  6.068325850513e-008  ,1.607085667094e-001  
  6.073515645560e-008  ,1.620560240616e-001  
  6.083895235654e-008  ,1.647589557978e-001  
  6.104654415842e-008  ,1.701968207621e-001  
  6.146172776219e-008  ,1.811999340411e-001  
  6.229209496971e-008  ,2.037105096122e-001  
  6.311165883537e-008  ,2.265769372264e-001  
  6.391799792048e-008  ,2.496954306764e-001  
  6.479958786961e-008  ,2.756564357174e-001  
  6.564904718991e-008  ,3.013338552716e-001  
  6.664910137054e-008  ,3.323734674833e-001  
  6.677410814311e-008  ,3.363146345045e-001  
  6.680535983626e-008  ,3.373020402488e-001  
  6.686786322255e-008  ,3.392793298100e-001  
  6.699286999513e-008  ,3.432437921095e-001  
  6.724288354028e-008  ,3.512120527169e-001  
  6.770081485022e-008  ,3.659414588783e-001  
  6.813774483610e-008  ,3.801550721155e-001  
  6.872187035490e-008  ,3.993971085710e-001  
  6.944569425989e-008  ,4.236106767773e-001  
  6.954515951086e-008  ,4.269698936501e-001  
  6.974409001280e-008  ,4.337108266405e-001  
  7.014195101667e-008  ,4.472815478236e-001  
  7.024141626764e-008  ,4.506926887972e-001  
  7.044034676958e-008  ,4.575367605713e-001  
  7.083820777346e-008  ,4.713110079463e-001  
  7.136179732490e-008  ,4.896098913179e-001  
  7.144448712800e-008  ,4.925176113212e-001  
  7.160986673419e-008  ,4.983472900720e-001  
  7.194062594656e-008  ,5.100629227249e-001  
  7.202331574965e-008  ,5.130035245464e-001  
  7.218869535584e-008  ,5.188985447537e-001  
  7.251945456822e-008  ,5.307433343166e-001  
  7.318097299297e-008  ,5.546471017755e-001  
  7.415625399310e-008  ,5.903879105077e-001  
  7.427590566088e-008  ,5.948133871781e-001  
  7.451520899642e-008  ,6.036902049969e-001  
  7.499381566752e-008  ,6.215440135916e-001  
  7.560122425068e-008  ,6.443909807886e-001  
  7.627922708500e-008  ,6.701313160077e-001  
  7.705995479930e-008  ,7.000728475210e-001  
  7.778647953976e-008  ,7.282078276614e-001  
  7.860222498287e-008  ,7.600949717579e-001  
  7.960227916349e-008  ,7.995877341962e-001  
  8.021499628533e-008  ,8.239913888119e-001  
  8.104378024448e-008  ,8.572315822317e-001  
  8.180467078794e-008  ,8.879705790475e-001  
  8.280472496856e-008  ,9.286585943403e-001  
  8.380477914918e-008  ,9.696312639587e-001  
  8.480483332981e-008  ,1.010851383150e+000  
  8.580488751043e-008  ,1.052287551473e+000  
  8.680494169105e-008  ,1.093876312284e+000  
