  Time                 , V(VOUT)              
  0.000000000000e+000  ,-2.575036736338e-001  
  1.000000000000e-011  ,-2.575036736338e-001  
  2.000000000000e-011  ,-2.575036736248e-001  
  3.543958205730e-011  ,-2.575036735997e-001  
  6.631874617189e-011  ,-2.575036735525e-001  
  1.280770744011e-010  ,-2.575036737937e-001  
  2.375424015149e-010  ,-2.575036751960e-001  
  3.989173206314e-010  ,-2.575036780733e-001  
  7.216671588644e-010  ,-2.575036804276e-001  
  1.367166835330e-009  ,-2.575036344045e-001  
  2.367221015953e-009  ,-2.575030631808e-001  
  3.367275196575e-009  ,-2.575008167068e-001  
  4.367329377197e-009  ,-2.574958584212e-001  
  5.367383557819e-009  ,-2.574874780203e-001  
  6.367437738441e-009  ,-2.574747881286e-001  
  7.367491919063e-009  ,-2.574577167925e-001  
  8.367546099685e-009  ,-2.574367432257e-001  
  9.367600280307e-009  ,-2.574131641387e-001  
  1.036765446093e-008  ,-2.573884167354e-001  
  1.136770864155e-008  ,-2.573637241419e-001  
  1.236776282217e-008  ,-2.573408951307e-001  
  1.336781700280e-008  ,-2.573192775124e-001  
  1.436787118342e-008  ,-2.572951832215e-001  
  1.536792536404e-008  ,-2.572629270173e-001  
  1.636797954466e-008  ,-2.572073576553e-001  
  1.736803372528e-008  ,-2.571036086341e-001  
  1.836808790591e-008  ,-2.569132058764e-001  
  1.936814208653e-008  ,-2.565671821557e-001  
  2.036819626715e-008  ,-2.560120464575e-001  
  2.136825044777e-008  ,-2.551380086698e-001  
  2.236830462839e-008  ,-2.537918243946e-001  
  2.336835880902e-008  ,-2.518666141634e-001  
  2.436841298964e-008  ,-2.491551868953e-001  
  2.536846717026e-008  ,-2.454415456650e-001  
  2.636852135088e-008  ,-2.404793722987e-001  
  2.736857553151e-008  ,-2.339933462348e-001  
  2.836862971213e-008  ,-2.256813695477e-001  
  2.936868389275e-008  ,-2.152176186440e-001  
  3.036873807337e-008  ,-2.022563141198e-001  
  3.136879225399e-008  ,-1.864360853066e-001  
  3.236884643462e-008  ,-1.673217826466e-001  
  3.336890061524e-008  ,-1.445781842600e-001  
  3.436895479586e-008  ,-1.179364999145e-001  
  3.536900897648e-008  ,-8.695227456290e-002  
  3.636906315710e-008  ,-5.126168152439e-002  
  3.736911733773e-008  ,-1.046234781304e-002  
  3.836917151835e-008  ,3.578355978237e-002  
  3.936922569897e-008  ,8.777045374576e-002  
  4.036927987959e-008  ,1.457905323975e-001  
  4.120579381611e-008  ,1.991720928871e-001  
  4.133080058869e-008  ,2.075316408463e-001  
  4.158081413385e-008  ,2.245552695906e-001  
  4.180833623882e-008  ,2.404052912725e-001  
  4.184792908978e-008  ,2.431984879399e-001  
  4.185570126770e-008  ,2.437480197853e-001  
  4.187124562355e-008  ,2.448482880100e-001  
  4.189000304228e-008  ,2.461781249659e-001  
  4.190199091004e-008  ,2.470292503879e-001  
  4.190867387711e-008  ,2.475041490675e-001  
  4.191698011032e-008  ,2.480948133685e-001  
  4.192704712528e-008  ,2.488113046720e-001  
  4.194718115519e-008  ,2.502463137406e-001  
  4.197796136628e-008  ,2.524453328386e-001  
  4.201066825095e-008  ,2.547889294582e-001  
  4.207608202028e-008  ,2.594975732558e-001  
  4.220690955895e-008  ,2.690008875297e-001  
  4.235419822413e-008  ,2.798377344139e-001  
  4.248933312970e-008  ,2.899090708810e-001  
  4.273170982975e-008  ,3.082834487352e-001  
  4.280000000000e-008  ,3.135327211187e-001  
  4.290000000000e-008  ,3.212769210731e-001  
  4.340000000965e-008  ,3.529417961307e-001  
  4.350000000965e-008  ,3.610304742768e-001  
  4.354108879749e-008  ,3.643741207392e-001  
  4.362326637317e-008  ,3.710966309097e-001  
  4.370551379804e-008  ,3.778719410325e-001  
  4.387000864778e-008  ,3.915642162087e-001  
  4.390000000000e-008  ,3.940810345029e-001  
  4.400000000000e-008  ,4.025184236041e-001  
  4.450000000965e-008  ,4.305949051927e-001  
  4.515388158929e-008  ,4.890217919949e-001  
  4.588012693297e-008  ,5.575022493391e-001  
  4.682914463651e-008  ,6.527494978289e-001  
  4.782919881713e-008  ,7.602546871883e-001  
  4.872280282747e-008  ,8.625663816021e-001  
  4.960253013145e-008  ,9.690678484774e-001  
  5.060258431207e-008  ,1.097120715551e+000  
  5.160170717012e-008  ,1.232458270913e+000  
  5.172671394270e-008  ,1.249911922799e+000  
  5.197672748786e-008  ,1.285165280544e+000  
  5.247675457817e-008  ,1.357052813382e+000  
  5.303005331975e-008  ,1.438737072899e+000  
  5.360644886118e-008  ,1.526203816962e+000  
  5.424999276023e-008  ,1.626700765376e+000  
  5.437499953281e-008  ,1.646568830985e+000  
  5.462501307797e-008  ,1.686640948637e+000  
  5.468751646426e-008  ,1.696728915143e+000  
  5.481252323683e-008  ,1.716988378832e+000  
  5.506253678199e-008  ,1.757840638067e+000  
  5.556256387230e-008  ,1.840870815724e+000  
  5.566935164701e-008  ,1.858831364379e+000  
  5.588292719644e-008  ,1.894991855443e+000  
  5.631007829528e-008  ,1.968264206031e+000  
  5.631966364184e-008  ,1.969922998812e+000  
  5.633883433497e-008  ,1.973242490890e+000  
  5.637717572121e-008  ,1.979889089833e+000  
  5.645385849370e-008  ,1.993212706397e+000  
  5.647302918682e-008  ,1.996549945968e+000  
  5.651137057306e-008  ,2.003232015629e+000  
  5.658805334555e-008  ,2.016626483652e+000  
  5.674141889053e-008  ,2.043536465902e+000  
  5.704814998048e-008  ,2.097838413923e+000  
  5.766161216037e-008  ,2.208351938603e+000  
  5.767723800695e-008  ,2.211200010149e+000  
  5.770848970009e-008  ,2.216901047436e+000  
  5.777099308638e-008  ,2.228322676792e+000  
  5.789599985896e-008  ,2.251244006882e+000  
  5.814601340411e-008  ,2.297397576539e+000  
  5.864604049442e-008  ,2.390935432939e+000  
  5.964609467505e-008  ,2.582851613676e+000  
  5.977110144762e-008  ,2.607290161196e+000  
  6.002111499278e-008  ,2.656460505030e+000  
  6.052114208309e-008  ,2.755959181300e+000  
  6.117949401109e-008  ,2.889275842132e+000  
  6.192380701272e-008  ,3.043109736356e+000  
  6.264940043060e-008  ,3.196136210814e+000  
  6.347399343817e-008  ,3.373622726398e+000  
  6.447404761879e-008  ,3.593755107329e+000  
  6.515717272727e-008  ,3.747057661873e+000  
  6.600504879920e-008  ,3.940527742537e+000  
  6.700510297982e-008  ,4.172951736071e+000  
  6.800515716044e-008  ,4.409676827264e+000  
  6.900521134107e-008  ,4.650460142679e+000  
  7.000526552169e-008  ,4.894801181703e+000  
  7.100531970231e-008  ,5.142335530734e+000  
  7.200537388293e-008  ,5.392749381740e+000  
  7.300542806355e-008  ,5.645481303813e+000  
  7.400548224418e-008  ,5.899917534568e+000  
  7.500553642480e-008  ,6.155541250108e+000  
  7.600559060542e-008  ,6.411909584921e+000  
  7.700564478604e-008  ,6.668236529368e+000  
  7.800569896666e-008  ,6.923685845603e+000  
  7.900575314729e-008  ,7.177750638493e+000  
  8.000580732791e-008  ,7.429379275492e+000  
  8.100586150853e-008  ,7.677828964746e+000  
  8.200591568915e-008  ,7.922484901726e+000  
  8.300596986977e-008  ,8.162292628831e+000  
