  Time                 , V(VOUT)              
  0.000000000000e+000  ,-2.575381261602e-001  
  1.000000000000e-011  ,-2.575381261602e-001  
  2.000000000000e-011  ,-2.575381261558e-001  
  3.543958205730e-011  ,-2.575381261436e-001  
  6.631874617189e-011  ,-2.575381261288e-001  
  1.280770744011e-010  ,-2.575381262232e-001  
  2.375424015149e-010  ,-2.575381267452e-001  
  3.989173206314e-010  ,-2.575381274220e-001  
  7.216671588644e-010  ,-2.575381256673e-001  
  1.367166835330e-009  ,-2.575380821404e-001  
  2.367221015953e-009  ,-2.575376835847e-001  
  3.367275196575e-009  ,-2.575364581774e-001  
  4.367329377197e-009  ,-2.575342938412e-001  
  5.367383557819e-009  ,-2.575312659917e-001  
  6.367437738441e-009  ,-2.575276597200e-001  
  7.367491919063e-009  ,-2.575238282076e-001  
  8.367546099685e-009  ,-2.575199774369e-001  
  9.367600280307e-009  ,-2.575163268256e-001  
  1.036765446093e-008  ,-2.575130881217e-001  
  1.136770864155e-008  ,-2.575103556261e-001  
  1.236776282217e-008  ,-2.575078347208e-001  
  1.336781700280e-008  ,-2.575044017469e-001  
  1.436787118342e-008  ,-2.574977629288e-001  
  1.536792536404e-008  ,-2.574852520372e-001  
  1.636797954466e-008  ,-2.574608007771e-001  
  1.736803372528e-008  ,-2.574161834227e-001  
  1.836808790591e-008  ,-2.573400635344e-001  
  1.936814208653e-008  ,-2.572142343479e-001  
  2.036819626715e-008  ,-2.570255597975e-001  
  2.136825044777e-008  ,-2.567480878534e-001  
  2.236830462839e-008  ,-2.563481039200e-001  
  2.336835880902e-008  ,-2.558030152182e-001  
  2.436841298964e-008  ,-2.550698619084e-001  
  2.536846717026e-008  ,-2.541052842507e-001  
  2.636852135088e-008  ,-2.528607040965e-001  
  2.736857553151e-008  ,-2.512824172665e-001  
  2.836862971213e-008  ,-2.493117499408e-001  
  2.936868389275e-008  ,-2.468853072364e-001  
  3.036873807337e-008  ,-2.439352882632e-001  
  3.136879225399e-008  ,-2.403898776382e-001  
  3.236884643462e-008  ,-2.361605534159e-001  
  3.336890061524e-008  ,-2.311768844206e-001  
  3.436895479586e-008  ,-2.253805573092e-001  
  3.536900897648e-008  ,-2.186714181349e-001  
  3.636906315710e-008  ,-2.109652934133e-001  
  3.736911733773e-008  ,-2.021773430448e-001  
  3.836917151835e-008  ,-1.922227167314e-001  
  3.936922569897e-008  ,-1.810172107810e-001  
  4.036927987959e-008  ,-1.684779354213e-001  
  4.136933406021e-008  ,-1.545239878929e-001  
  4.236938824084e-008  ,-1.390646672458e-001  
  4.336944242146e-008  ,-1.220509151911e-001  
  4.436949660208e-008  ,-1.033995263653e-001  
  4.536955078270e-008  ,-8.304481657905e-002  
  4.636960496332e-008  ,-6.092089831111e-002  
  4.736965914395e-008  ,-3.695764738606e-002  
  4.836971332457e-008  ,-1.110264144215e-002  
  4.936976750519e-008  ,1.667300312376e-002  
  5.036982168581e-008  ,4.640321551700e-002  
  5.136987586644e-008  ,7.813479917118e-002  
  5.149488263901e-008  ,8.224240375019e-002  
  5.174489618417e-008  ,9.055267515501e-002  
  5.192205702092e-008  ,9.651859981017e-002  
  5.209383946981e-008  ,1.023646699491e-001  
  5.213154639255e-008  ,1.036559811194e-001  
  5.220696023803e-008  ,1.062473391302e-001  
  5.222581369940e-008  ,1.068969986595e-001  
  5.226352062214e-008  ,1.081985026676e-001  
  5.228721405052e-008  ,1.090178031104e-001  
  5.231098896962e-008  ,1.098410779148e-001  
  5.231740927462e-008  ,1.100635980862e-001  
  5.233024988461e-008  ,1.105088919196e-001  
  5.234679250184e-008  ,1.110830642411e-001  
  5.236319251031e-008  ,1.116528406150e-001  
