  Time                 , V(VOUT)              
  0.000000000000e+000  ,-1.095606334910e-001  
  1.000000000000e-011  ,-1.095606194754e-001  
  2.000000000000e-011  ,-1.095606074683e-001  
  3.543958205730e-011  ,-1.095605914837e-001  
  6.631874617189e-011  ,-1.095605684259e-001  
  1.280770744011e-010  ,-1.095605427619e-001  
  2.375424015149e-010  ,-1.095605149227e-001  
  3.989173206314e-010  ,-1.095604354236e-001  
  7.216671588644e-010  ,-1.095599405216e-001  
  1.367166835330e-009  ,-1.095573436274e-001  
  2.367221015953e-009  ,-1.095502532680e-001  
  3.367275196575e-009  ,-1.095426350349e-001  
  4.367329377197e-009  ,-1.095356312422e-001  
  5.367383557819e-009  ,-1.095293200655e-001  
  6.367437738441e-009  ,-1.095232173885e-001  
  7.367491919063e-009  ,-1.095170862772e-001  
  8.367546099685e-009  ,-1.095110670529e-001  
  9.367600280307e-009  ,-1.095054989513e-001  
  1.036765446093e-008  ,-1.095008213216e-001  
  1.136770864155e-008  ,-1.094970659380e-001  
  1.236776282217e-008  ,-1.094939099894e-001  
  1.336781700280e-008  ,-1.094904581129e-001  
  1.436787118342e-008  ,-1.094847625301e-001  
  1.536792536404e-008  ,-1.094732780594e-001  
  1.636797954466e-008  ,-1.094503505668e-001  
  1.736803372528e-008  ,-1.094077180100e-001  
  1.836808790591e-008  ,-1.093340077042e-001  
  1.936814208653e-008  ,-1.092142539175e-001  
  2.036819626715e-008  ,-1.090294584219e-001  
  2.136825044777e-008  ,-1.087562092560e-001  
  2.149325722035e-008  ,-1.087148053124e-001  
  2.174327076551e-008  ,-1.086263160707e-001  
  2.224329785582e-008  ,-1.084246918520e-001  
  2.324335203644e-008  ,-1.079032111085e-001  
  2.424340621706e-008  ,-1.072014358415e-001  
  2.524346039768e-008  ,-1.062740031763e-001  
  2.624351457831e-008  ,-1.050728965801e-001  
  2.724356875893e-008  ,-1.035351385035e-001  
  2.824362293955e-008  ,-1.016214466616e-001  
  2.924367712017e-008  ,-9.925994211689e-002  
  3.024373130079e-008  ,-9.638330464523e-002  
  3.124378548142e-008  ,-9.292015690563e-002  
  3.224383966204e-008  ,-8.879551038076e-002  
  3.324389384266e-008  ,-8.393127540229e-002  
  3.424394802328e-008  ,-7.824681559357e-002  
  3.524400220390e-008  ,-7.165954479395e-002  
  3.624405638453e-008  ,-6.408555652502e-002  
  3.724411056515e-008  ,-5.542601907951e-002  
  3.824416474577e-008  ,-4.562471448315e-002  
  3.924421892639e-008  ,-3.458261173643e-002  
  4.024427310701e-008  ,-2.220165076183e-002  
  4.124432728764e-008  ,-8.408801990547e-003  
  4.224438146826e-008  ,6.853700706742e-003  
  4.324443564888e-008  ,2.368807827292e-002  
  4.424448982950e-008  ,4.215500632133e-002  
  4.497446046349e-008  ,5.669823349057e-002  
  4.509946723606e-008  ,5.927924766399e-002  
  4.534948078122e-008  ,6.452361843377e-002  
