  Time                 , V(VOUT)              
  0.000000000000e+000  ,-3.988611002928e-001  
  1.000000000000e-011  ,-3.988611009080e-001  
  2.000000000000e-011  ,-3.988611014298e-001  
  3.543958205730e-011  ,-3.988611021163e-001  
  6.631874617189e-011  ,-3.988611031001e-001  
  1.280770744011e-010  ,-3.988611041935e-001  
  2.375424015149e-010  ,-3.988611053108e-001  
  3.989173206314e-010  ,-3.988611061459e-001  
  7.216671588644e-010  ,-3.988611075946e-001  
  1.367166835330e-009  ,-3.988611198877e-001  
  2.367221015953e-009  ,-3.988612511602e-001  
  3.367275196575e-009  ,-3.988616219146e-001  
  4.367329377197e-009  ,-3.988622763695e-001  
  5.367383557819e-009  ,-3.988632173490e-001  
  6.367437738441e-009  ,-3.988643502831e-001  
  7.367491919063e-009  ,-3.988656000864e-001  
  8.367546099685e-009  ,-3.988669576258e-001  
  9.367600280307e-009  ,-3.988684288592e-001  
  1.036765446093e-008  ,-3.988700071502e-001  
  1.136770864155e-008  ,-3.988716790448e-001  
  1.236776282217e-008  ,-3.988734201213e-001  
  1.336781700280e-008  ,-3.988752224227e-001  
  1.436787118342e-008  ,-3.988770793133e-001  
  1.536792536404e-008  ,-3.988789811810e-001  
  1.636797954466e-008  ,-3.988809247173e-001  
  1.736803372528e-008  ,-3.988829019388e-001  
  1.836808790591e-008  ,-3.988849042214e-001  
  1.936814208653e-008  ,-3.988869281813e-001  
  2.036819626715e-008  ,-3.988889673628e-001  
  2.136825044777e-008  ,-3.988910140574e-001  
  2.149325722035e-008  ,-3.988912699995e-001  
  2.174327076551e-008  ,-3.988917829894e-001  
  2.224329785582e-008  ,-3.988928105057e-001  
  2.324335203644e-008  ,-3.988948570528e-001  
  2.424340621706e-008  ,-3.988968881906e-001  
  2.524346039768e-008  ,-3.988989036348e-001  
  2.624351457831e-008  ,-3.989008918051e-001  
  2.724356875893e-008  ,-3.989028439079e-001  
  2.824362293955e-008  ,-3.989047495358e-001  
  2.924367712017e-008  ,-3.989065982296e-001  
  3.024373130079e-008  ,-3.989083785897e-001  
  3.124378548142e-008  ,-3.989100750325e-001  
  3.224383966204e-008  ,-3.989116810521e-001  
  3.324389384266e-008  ,-3.989131729130e-001  
  3.424394802328e-008  ,-3.989145394531e-001  
  3.524400220390e-008  ,-3.989157721360e-001  
  3.624405638453e-008  ,-3.989168499477e-001  
  3.724411056515e-008  ,-3.989177554039e-001  
  3.824416474577e-008  ,-3.989184726693e-001  
  3.924421892639e-008  ,-3.989189810994e-001  
  4.024427310701e-008  ,-3.989192639289e-001  
  4.124432728764e-008  ,-3.989193079622e-001  
  4.224438146826e-008  ,-3.989190868003e-001  
  4.324443564888e-008  ,-3.989185807666e-001  
  4.424448982950e-008  ,-3.989177815114e-001  
  4.524454401013e-008  ,-3.989166658239e-001  
  4.624459819075e-008  ,-3.989152111849e-001  
  4.724465237137e-008  ,-3.989134072056e-001  
  4.824470655199e-008  ,-3.989112330018e-001  
  4.924476073261e-008  ,-3.989086730367e-001  
  5.024481491324e-008  ,-3.989057081318e-001  
  5.124486909386e-008  ,-3.989023240189e-001  
  5.224492327448e-008  ,-3.988985062226e-001  
  5.324497745510e-008  ,-3.988942448942e-001  
  5.424503163572e-008  ,-3.988895269179e-001  
  5.524508581635e-008  ,-3.988843361276e-001  
  5.624513999697e-008  ,-3.988786603440e-001  
  5.724519417759e-008  ,-3.988724949093e-001  
  5.824524835821e-008  ,-3.988658321993e-001  
  5.924530253883e-008  ,-3.988586632611e-001  
  6.024535671946e-008  ,-3.988509802893e-001  
  6.124541090008e-008  ,-3.988427759654e-001  
  6.224546508070e-008  ,-3.988340498721e-001  
  6.324551926132e-008  ,-3.988247977813e-001  
  6.424557344194e-008  ,-3.988150193546e-001  
  6.524562762257e-008  ,-3.988047108157e-001  
  6.624568180319e-008  ,-3.987938774632e-001  
  6.724573598381e-008  ,-3.987825177378e-001  
  6.824579016443e-008  ,-3.987706330027e-001  
  6.924584434506e-008  ,-3.987582296634e-001  
  7.024589852568e-008  ,-3.987453105850e-001  
  7.124595270630e-008  ,-3.987318803881e-001  
  7.224600688692e-008  ,-3.987179509277e-001  
  7.324606106754e-008  ,-3.987035245866e-001  
  7.424611524817e-008  ,-3.986886066658e-001  
  7.524616942879e-008  ,-3.986732124827e-001  
  7.624622360941e-008  ,-3.986573480579e-001  
  7.724627779003e-008  ,-3.986410203984e-001  
  7.824633197065e-008  ,-3.986242445965e-001  
  7.924638615128e-008  ,-3.986070287983e-001  
  8.024644033190e-008  ,-3.985893814059e-001  
  8.124649451252e-008  ,-3.985713199388e-001  
  8.224654869314e-008  ,-3.985528518720e-001  
  8.324660287377e-008  ,-3.985339866951e-001  
  8.424665705439e-008  ,-3.985147432879e-001  
  8.524671123501e-008  ,-3.984951290462e-001  
  8.624676541563e-008  ,-3.984751529628e-001  
  8.724681959625e-008  ,-3.984548339710e-001  
  8.824687377688e-008  ,-3.984341801408e-001  
  8.924692795750e-008  ,-3.984132017092e-001  
  9.024698213812e-008  ,-3.983919143994e-001  
  9.124703631874e-008  ,-3.983703271455e-001  
  9.224709049936e-008  ,-3.983484489838e-001  
  9.324714467999e-008  ,-3.983262958118e-001  
  9.424719886061e-008  ,-3.983038758151e-001  
  9.524725304123e-008  ,-3.982811972010e-001  
  9.624730722185e-008  ,-3.982582750797e-001  
  9.724736140247e-008  ,-3.982351155355e-001  
  9.824741558310e-008  ,-3.982117267288e-001  
  9.924746976372e-008  ,-3.981881234439e-001  
  1.002475239443e-007  ,-3.981643098863e-001  
  1.012475781250e-007  ,-3.981402920485e-001  
  1.022476323056e-007  ,-3.981160847666e-001  
  1.032476864862e-007  ,-3.980916935295e-001  
  1.042477406668e-007  ,-3.980671218232e-001  
  1.052477948475e-007  ,-3.980423754088e-001  
  1.062478490281e-007  ,-3.980174680969e-001  
  1.072479032087e-007  ,-3.979924024489e-001  
  1.082479573893e-007  ,-3.979671863717e-001  
  1.092480115699e-007  ,-3.979418220792e-001  
  1.102480657506e-007  ,-3.979163170882e-001  
  1.112481199312e-007  ,-3.978906720057e-001  
  1.122481741118e-007  ,-3.978648962543e-001  
  1.132482282924e-007  ,-3.978389959390e-001  
  1.142482824731e-007  ,-3.978129702207e-001  
  1.152483366537e-007  ,-3.977868254793e-001  
  1.162483908343e-007  ,-3.977605678000e-001  
  1.172484450149e-007  ,-3.977342005190e-001  
  1.182484991955e-007  ,-3.977077244948e-001  
  1.192485533762e-007  ,-3.976811436502e-001  
  1.202486075568e-007  ,-3.976544604409e-001  
  1.212486617374e-007  ,-3.976276795969e-001  
  1.222487159180e-007  ,-3.976008035637e-001  
  1.232487700986e-007  ,-3.975738431853e-001  
  1.242488242793e-007  ,-3.975468414598e-001  
  1.252488784599e-007  ,-3.975198387396e-001  
  1.262489326405e-007  ,-3.974929276512e-001  
  1.272489868211e-007  ,-3.974662492678e-001  
  1.282490410018e-007  ,-3.974398771856e-001  
  1.292490951824e-007  ,-3.974139364021e-001  
  1.302491493630e-007  ,-3.973884671341e-001  
  1.312492035436e-007  ,-3.973635306142e-001  
  1.322492577242e-007  ,-3.973391683872e-001  
  1.332493119049e-007  ,-3.973154157250e-001  
  1.342493660855e-007  ,-3.972922922165e-001  
  1.352494202661e-007  ,-3.972698099415e-001  
  1.362494744467e-007  ,-3.972479786627e-001  
  1.372495286274e-007  ,-3.972268041429e-001  
  1.382495828080e-007  ,-3.972062943653e-001  
  1.392496369886e-007  ,-3.971864456965e-001  
  1.402496911692e-007  ,-3.971672509216e-001  
  1.412497453498e-007  ,-3.971487004617e-001  
  1.422497995305e-007  ,-3.971307850554e-001  
  1.432498537111e-007  ,-3.971134940284e-001  
  1.442499078917e-007  ,-3.970968168208e-001  
  1.452499620723e-007  ,-3.970807428668e-001  
  1.462500162530e-007  ,-3.970652564455e-001  
  1.472500704336e-007  ,-3.970503429956e-001  
  1.482501246142e-007  ,-3.970359870669e-001  
  1.492501787948e-007  ,-3.970221695341e-001  
  1.502502329754e-007  ,-3.970088772495e-001  
