  Time                 , V(VOUT)              
  0.000000000000e+000  ,6.820896264770e-002  
  1.000000000000e-011  ,6.820896273259e-002  
  2.000000000000e-011  ,6.820896280953e-002  
  4.000015228987e-011  ,6.820896294046e-002  
  8.000045686960e-011  ,6.820896316230e-002  
  1.600010660291e-010  ,6.820896345838e-002  
  3.200022843480e-010  ,6.820896357774e-002  
  3.589897756279e-010  ,6.820896351913e-002  
  4.369647581875e-010  ,6.820896326329e-002  
  5.929147233069e-010  ,6.820896238497e-002  
  9.048146535456e-010  ,6.820896081798e-002  
  1.528614514023e-009  ,6.820895945729e-002  
  2.528668694645e-009  ,6.820896101891e-002  
  3.528722875267e-009  ,6.820896350789e-002  
  4.528777055889e-009  ,6.820896258278e-002  
  5.528831236511e-009  ,6.820895961805e-002  
  6.528885417134e-009  ,6.820895887515e-002  
  7.528939597756e-009  ,6.820895871789e-002  
  8.528993778378e-009  ,6.820895859395e-002  
  9.529047959000e-009  ,6.820896011830e-002  
  1.052910213962e-008  ,6.820896340873e-002  
  1.152915632024e-008  ,6.820896469321e-002  
  1.252921050087e-008  ,6.820896326492e-002  
  1.352926468149e-008  ,6.820896025187e-002  
  1.452931886211e-008  ,6.820895584286e-002  
  1.552937304273e-008  ,6.820894592357e-002  
  1.652942722335e-008  ,6.820892632102e-002  
  1.752948140398e-008  ,6.820889112787e-002  
  1.852953558460e-008  ,6.820883873773e-002  
  1.952958976522e-008  ,6.820876206933e-002  
  2.052964394584e-008  ,6.820865397774e-002  
  2.065465071842e-008  ,6.820863765021e-002  
  2.090466426358e-008  ,6.820860307312e-002  
  2.140469135389e-008  ,6.820852769536e-002  
  2.240474553451e-008  ,6.820834251361e-002  
  2.340479971513e-008  ,6.820809450449e-002  
  2.440485389575e-008  ,6.820777344704e-002  
  2.540490807638e-008  ,6.820737551302e-002  
  2.640496225700e-008  ,6.820689133520e-002  
  2.740501643762e-008  ,6.820630007882e-002  
  2.840507061824e-008  ,6.820558766800e-002  
  2.940512479886e-008  ,6.820474324470e-002  
  3.040517897949e-008  ,6.820375282706e-002  
  3.140523316011e-008  ,6.820260244981e-002  
  3.240528734073e-008  ,6.820127826297e-002  
  3.340534152135e-008  ,6.819976889310e-002  
  3.440539570197e-008  ,6.819805581452e-002  
  3.540544988260e-008  ,6.819612747397e-002  
  3.640550406322e-008  ,6.819397334796e-002  
  3.740555824384e-008  ,6.819157887194e-002  
  3.840561242446e-008  ,6.818892937242e-002  
  3.940566660509e-008  ,6.818601490033e-002  
  4.040572078571e-008  ,6.818282664439e-002  
  4.140577496633e-008  ,6.817935433755e-002  
  4.240582914695e-008  ,6.817558943975e-002  
  4.340588332757e-008  ,6.817152428527e-002  
  4.440593750820e-008  ,6.816715166517e-002  
  4.540599168882e-008  ,6.816246738762e-002  
  4.640604586944e-008  ,6.815746763509e-002  
  4.740610005006e-008  ,6.815214791095e-002  
  4.840615423068e-008  ,6.814650696288e-002  
  4.940620841131e-008  ,6.814054616702e-002  
  5.040626259193e-008  ,6.813426711037e-002  
  5.140631677255e-008  ,6.812766936899e-002  
  5.240637095317e-008  ,6.812075257408e-002  
  5.340642513379e-008  ,6.811352296864e-002  
  5.440647931442e-008  ,6.810598478543e-002  
  5.540653349504e-008  ,6.809814721063e-002  
  5.640658767566e-008  ,6.809001515320e-002  
  5.740664185628e-008  ,6.808159199254e-002  
  5.840669603690e-008  ,6.807288965290e-002  
  5.940675021753e-008  ,6.806391426773e-002  
  6.040680439815e-008  ,6.805467594860e-002  
  6.140685857877e-008  ,6.804518782853e-002  
  6.240691275939e-008  ,6.803546333728e-002  
  6.340696694002e-008  ,6.802550755396e-002  
  6.440702112064e-008  ,6.801532792537e-002  
  6.540707530126e-008  ,6.800493849189e-002  
  6.640712948188e-008  ,6.799435322009e-002  
  6.740718366250e-008  ,6.798358399853e-002  
  6.840723784313e-008  ,6.797264153014e-002  
  6.940729202375e-008  ,6.796153704616e-002  
  7.040734620437e-008  ,6.795028315996e-002  
  7.140740038499e-008  ,6.793888866938e-002  
  7.240745456561e-008  ,6.792736753040e-002  
  7.340750874624e-008  ,6.791572785194e-002  
  7.440756292686e-008  ,6.790398425565e-002  
  7.540761710748e-008  ,6.789214334018e-002  
  7.640767128810e-008  ,6.788021553456e-002  
  7.740772546873e-008  ,6.786820900877e-002  
  7.840777964935e-008  ,6.785613367552e-002  
  7.940783382997e-008  ,6.784399899762e-002  
  8.040788801059e-008  ,6.783181246771e-002  
  8.140794219121e-008  ,6.781958061075e-002  
  8.240799637184e-008  ,6.780730909064e-002  
  8.340805055246e-008  ,6.779500475474e-002  
  8.440810473308e-008  ,6.778267512241e-002  
  8.540815891370e-008  ,6.777032562088e-002  
