  Time                 , V(VOUT)              
  0.000000000000e+000  ,-2.575389840890e-001  
  1.000000000000e-011  ,-2.575389840890e-001  
  2.000000000000e-011  ,-2.575389840846e-001  
  3.089501893148e-011  ,-2.575389840752e-001  
  5.268505679443e-011  ,-2.575389840496e-001  
  9.626513252035e-011  ,-2.575389839745e-001  
  1.834252839722e-010  ,-2.575389837276e-001  
  3.126695742644e-010  ,-2.575389831976e-001  
  5.711581548490e-010  ,-2.575389819932e-001  
  8.249435564317e-010  ,-2.575389785622e-001  
  1.125295086745e-009  ,-2.575389672897e-001  
  1.678686960582e-009  ,-2.575388906479e-001  
  2.219040318374e-009  ,-2.575386764809e-001  
  3.219094498996e-009  ,-2.575375839256e-001  
  4.219148679618e-009  ,-2.575354915463e-001  
  5.219202860240e-009  ,-2.575324776198e-001  
  6.219257040862e-009  ,-2.575288926597e-001  
  7.219311221484e-009  ,-2.575249456315e-001  
  8.219365402106e-009  ,-2.575206502868e-001  
  9.219419582728e-009  ,-2.575160102663e-001  
  1.021947376335e-008  ,-2.575110453985e-001  
  1.121952794397e-008  ,-2.575057924942e-001  
  1.221958212459e-008  ,-2.575002538102e-001  
  1.321963630522e-008  ,-2.574942949075e-001  
  1.421969048584e-008  ,-2.574877690765e-001  
  1.521974466646e-008  ,-2.574803514727e-001  
  1.621979884708e-008  ,-2.574715722837e-001  
  1.721985302771e-008  ,-2.574609652234e-001  
  1.821990720833e-008  ,-2.574479494791e-001  
  1.921996138895e-008  ,-2.574318476176e-001  
  2.022001556957e-008  ,-2.574118986343e-001  
  2.122006975019e-008  ,-2.573872697288e-001  
  2.222012393082e-008  ,-2.573570711900e-001  
  2.322017811144e-008  ,-2.573203706564e-001  
  2.422023229206e-008  ,-2.572764460863e-001  
  2.522028647268e-008  ,-2.572239164270e-001  
  2.622034065330e-008  ,-2.571621239980e-001  
  2.722039483393e-008  ,-2.570897741822e-001  
  2.822044901455e-008  ,-2.570062464218e-001  
  2.922050319517e-008  ,-2.569103514965e-001  
  3.022055737579e-008  ,-2.568013724652e-001  
  3.122061155641e-008  ,-2.566787622309e-001  
  3.222066573704e-008  ,-2.565416678050e-001  
  3.322071991766e-008  ,-2.563894392856e-001  
