  Time                 , V(VOUT)              
  0.000000000000e+000  ,-1.095667221741e-001  
  1.000000000000e-011  ,-1.095667081598e-001  
  2.000000000000e-011  ,-1.095666961506e-001  
  3.543958205730e-011  ,-1.095666801585e-001  
  6.631874617189e-011  ,-1.095666570681e-001  
  1.280770744011e-010  ,-1.095666312426e-001  
  2.375424015149e-010  ,-1.095666029959e-001  
  3.989173206314e-010  ,-1.095665231696e-001  
  7.216671588644e-010  ,-1.095660286001e-001  
  1.367166835330e-009  ,-1.095634329742e-001  
  2.367221015953e-009  ,-1.095563437727e-001  
  3.367275196575e-009  ,-1.095487279658e-001  
  4.367329377197e-009  ,-1.095417331638e-001  
  5.367383557819e-009  ,-1.095354504644e-001  
  6.367437738441e-009  ,-1.095294609908e-001  
  7.367491919063e-009  ,-1.095236154823e-001  
  8.367546099685e-009  ,-1.095183882037e-001  
  9.367600280307e-009  ,-1.095144468151e-001  
  1.036765446093e-008  ,-1.095129747143e-001  
  1.136770864155e-008  ,-1.095149204074e-001  
  1.236776282217e-008  ,-1.095208660320e-001  
  1.336781700280e-008  ,-1.095302444309e-001  
  1.436787118342e-008  ,-1.095398467701e-001  
  1.536792536404e-008  ,-1.095417354482e-001  
  1.636797954466e-008  ,-1.095206273604e-001  
  1.736803372528e-008  ,-1.094507727687e-001  
  1.836808790591e-008  ,-1.092924165194e-001  
  1.936814208653e-008  ,-1.089879973455e-001  
  2.036819626715e-008  ,-1.084582912200e-001  
  2.136825044777e-008  ,-1.075987122947e-001  
  2.149325722035e-008  ,-1.074633256982e-001  
  2.174327076551e-008  ,-1.071698723749e-001  
  2.224329785582e-008  ,-1.064827460935e-001  
  2.324335203644e-008  ,-1.046072519717e-001  
  2.424340621706e-008  ,-1.019448398692e-001  
  2.524346039768e-008  ,-9.825356105305e-002  
  2.624351457831e-008  ,-9.326908362627e-002  
  2.724356875893e-008  ,-8.663603161578e-002  
  2.824362293955e-008  ,-7.812969008875e-002  
  2.924367712017e-008  ,-6.733663459606e-002  
  3.024373130079e-008  ,-5.386722425067e-002  
  3.124378548142e-008  ,-3.730805643637e-002  
  3.224383966204e-008  ,-1.722147513257e-002  
  3.324389384266e-008  ,6.848422895610e-003  
  3.424394802328e-008  ,3.534991896095e-002  
  3.524400220390e-008  ,6.872192107871e-002  
  3.624405638453e-008  ,1.074131696894e-001  
  3.636906315710e-008  ,1.126415628345e-001  
  3.661907670226e-008  ,1.233728561186e-001  
  3.689195421662e-008  ,1.355107360299e-001  
  3.710143194672e-008  ,1.451338332318e-001  
  3.731582240339e-008  ,1.552604733087e-001  
  3.734515906449e-008  ,1.566683312398e-001  
  3.740383238669e-008  ,1.595001453754e-001  
  3.741850071725e-008  ,1.602114657162e-001  
  3.744783737835e-008  ,1.616381547252e-001  
  3.750651070055e-008  ,1.645077792423e-001  
  3.753714539248e-008  ,1.660146991646e-001  
  3.755245982807e-008  ,1.667702372971e-001  
  3.757117650144e-008  ,1.676956394105e-001  
  3.759050144486e-008  ,1.686534434343e-001  
  3.762915133171e-008  ,1.705761627708e-001  
  3.770645110540e-008  ,1.744501231120e-001  
  3.786105065279e-008  ,1.823128383188e-001  
  3.800242541961e-008  ,1.896380580599e-001  
  3.813565111391e-008  ,1.966600561182e-001  
  3.840000000000e-008  ,2.109387491402e-001  
  3.850000000000e-008  ,2.164611690567e-001  
  3.900000000965e-008  ,2.392268881165e-001  
  3.910000000965e-008  ,2.450882374457e-001  
  3.924614780467e-008  ,2.537783125668e-001  
  3.935358750519e-008  ,2.602611883373e-001  
  3.947505525198e-008  ,2.676875710841e-001  
  3.950000000000e-008  ,2.692254252652e-001  
  3.960000000000e-008  ,2.754345132434e-001  
  3.970000000000e-008  ,2.817142972566e-001  
  4.020000000965e-008  ,2.859679823516e-001  
  4.033420359265e-008  ,2.945717680514e-001  
  4.047338975143e-008  ,3.036317032355e-001  
  4.061530002873e-008  ,3.130131317908e-001  
  4.076987629306e-008  ,3.233986451034e-001  
  4.077470680132e-008  ,3.237259948061e-001  
  4.078436781784e-008  ,3.243812072311e-001  
  4.080368985088e-008  ,3.256936853378e-001  
  4.084233391696e-008  ,3.283268625579e-001  
  4.091962204912e-008  ,3.336261745556e-001  
  4.107419831344e-008  ,3.443572880107e-001  
  4.111284237952e-008  ,3.470676975631e-001  
  4.119013051168e-008  ,3.525218701235e-001  
  4.134470677600e-008  ,3.635642684867e-001  
  4.165385930465e-008  ,3.861890838089e-001  
  4.227216436193e-008  ,4.336327968711e-001  
  4.327221854256e-008  ,5.167331233541e-001  
  4.427227272318e-008  ,6.078482040338e-001  
  4.523358388470e-008  ,7.032224496779e-001  
  4.623363806532e-008  ,8.107490133581e-001  
  4.718060685919e-008  ,9.204838705952e-001  
  4.730561363177e-008  ,9.355467578213e-001  
  4.755562717692e-008  ,9.660806581723e-001  
  4.805565426723e-008  ,1.028787418931e+000  
  4.882343659775e-008  ,1.129346537460e+000  
  4.891549783425e-008  ,1.141751810506e+000  
  4.909962030725e-008  ,1.166786440523e+000  
  4.946786525325e-008  ,1.217752458207e+000  
  4.955992648975e-008  ,1.230680805437e+000  
  4.974404896275e-008  ,1.256761805206e+000  
  5.011229390876e-008  ,1.309820892374e+000  
  5.020435514526e-008  ,1.323272547376e+000  
  5.038847761826e-008  ,1.350400012039e+000  
  5.043450823651e-008  ,1.357228571701e+000  
  5.052656947301e-008  ,1.370941703669e+000  
  5.071069194601e-008  ,1.398591934100e+000  
  5.107893689201e-008  ,1.454787375203e+000  
  5.181542678402e-008  ,1.570746760279e+000  
  5.183063935620e-008  ,1.573192111529e+000  
  5.186106450056e-008  ,1.578088884276e+000  
  5.192191478928e-008  ,1.587906702674e+000  
