  Time                 , V(VOUT)              
  0.000000000000e+000  ,-3.762691108822e-002  
  1.000000000000e-011  ,-3.762691163961e-002  
  2.000000000000e-011  ,-3.762691210386e-002  
  3.543958205730e-011  ,-3.762691270926e-002  
  6.631874617189e-011  ,-3.762691356145e-002  
  1.280770744011e-010  ,-3.762691462495e-002  
  2.375424015149e-010  ,-3.762691610804e-002  
  3.989173206314e-010  ,-3.762691833666e-002  
  7.216671588644e-010  ,-3.762692102485e-002  
  1.367166835330e-009  ,-3.762691757994e-002  
  2.367221015953e-009  ,-3.762690988734e-002  
  3.361687261127e-009  ,-3.762691191197e-002  
  4.361741441749e-009  ,-3.762692746284e-002  
  5.361795622371e-009  ,-3.762696693216e-002  
  6.361849802993e-009  ,-3.762708963891e-002  
  7.361903983615e-009  ,-3.762736447781e-002  
  8.361958164237e-009  ,-3.762795531992e-002  
  9.362012344860e-009  ,-3.762910920345e-002  
  1.036206652548e-008  ,-3.763096009273e-002  
  1.136212070610e-008  ,-3.763364189276e-002  
  1.236217488673e-008  ,-3.763691861736e-002  
  1.336222906735e-008  ,-3.763988814346e-002  
  1.436228324797e-008  ,-3.764056031563e-002  
  1.536233742859e-008  ,-3.763538508370e-002  
  1.636239160921e-008  ,-3.761874095863e-002  
  1.736244578984e-008  ,-3.758240663892e-002  
  1.836249997046e-008  ,-3.751505654408e-002  
  1.936255415108e-008  ,-3.740178178174e-002  
  2.036260833170e-008  ,-3.721962888522e-002  
  2.136266251232e-008  ,-3.694645047773e-002  
  2.236271669295e-008  ,-3.655445607657e-002  
  2.336277087357e-008  ,-3.601066687584e-002  
  2.436282505419e-008  ,-3.528714504549e-002  
  2.536287923481e-008  ,-3.433303586399e-002  
  2.636293341544e-008  ,-3.309086846174e-002  
  2.736298759606e-008  ,-3.152443544613e-002  
  2.836304177668e-008  ,-2.955643341763e-002  
  2.936309595730e-008  ,-2.714430136191e-002  
  3.036315013792e-008  ,-2.421064125841e-002  
  3.136320431855e-008  ,-2.068392341856e-002  
  3.236325849917e-008  ,-1.647596542768e-002  
  3.336331267979e-008  ,-1.153437497808e-002  
  3.436336686041e-008  ,-5.765789287312e-003  
  3.536342104103e-008  ,9.264732744496e-004  
  3.636347522166e-008  ,8.617311564524e-003  
  3.736352940228e-008  ,1.736789985924e-002  
  3.836358358290e-008  ,2.729474681209e-002  
  3.848859035548e-008  ,2.861937194826e-002  
  3.873860390063e-008  ,3.132682921506e-002  
  3.896510155078e-008  ,3.384865773424e-002  
  3.917611596312e-008  ,3.625788877736e-002  
  3.922886956621e-008  ,3.686925372384e-002  
  3.933437677238e-008  ,3.810298223743e-002  
  3.940473819289e-008  ,3.893393021004e-002  
  3.945582123611e-008  ,3.954132994995e-002  
  3.946878553739e-008  ,3.969603402923e-002  
  3.949471413994e-008  ,4.000611564688e-002  
  3.952623940909e-008  ,4.038434100803e-002  
  3.957785214202e-008  ,4.100644643716e-002  
  3.967229989262e-008  ,4.215414672945e-002  
  3.977213767262e-008  ,4.338048345362e-002  
