  Time                 , V(VOUT)              
  0.000000000000e+000  ,-2.038159447653e-001  
  1.000000000000e-011  ,-2.038159447653e-001  
  2.000000000000e-011  ,-2.038159447598e-001  
  4.000015228987e-011  ,-2.038159447346e-001  
  8.000045686960e-011  ,-2.038159446679e-001  
  1.600010660291e-010  ,-2.038159444573e-001  
  3.200022843480e-010  ,-2.038159438404e-001  
  6.400047209859e-010  ,-2.038159416023e-001  
  1.280009594262e-009  ,-2.038158862416e-001  
  2.088397589028e-009  ,-2.038155455600e-001  
  3.088451769650e-009  ,-2.038141421840e-001  
  4.088505950272e-009  ,-2.038112146544e-001  
  5.088560130894e-009  ,-2.038068608753e-001  
  6.088614311516e-009  ,-2.038015901824e-001  
  7.088668492138e-009  ,-2.037957946365e-001  
  8.088722672760e-009  ,-2.037895736528e-001  
  9.088776853383e-009  ,-2.037829771241e-001  
  1.008883103400e-008  ,-2.037762358531e-001  
  1.108888521463e-008  ,-2.037694943658e-001  
  1.208893939525e-008  ,-2.037628736363e-001  
  1.308899357587e-008  ,-2.037559517573e-001  
  1.408904775649e-008  ,-2.037477987058e-001  
  1.508910193712e-008  ,-2.037372842028e-001  
  1.608915611774e-008  ,-2.037211053822e-001  
  1.708921029836e-008  ,-2.036955005606e-001  
  1.808926447898e-008  ,-2.036551113729e-001  
  1.908931865960e-008  ,-2.035948412674e-001  
  2.008937284023e-008  ,-2.035046192185e-001  
  2.108942702085e-008  ,-2.033733706891e-001  
  2.208948120147e-008  ,-2.031849734050e-001  
  2.308953538209e-008  ,-2.029285658468e-001  
  2.408958956271e-008  ,-2.025834366647e-001  
  2.508964374334e-008  ,-2.021285673275e-001  
  2.608969792396e-008  ,-2.015403091028e-001  
  2.708975210458e-008  ,-2.007875637499e-001  
  2.808980628520e-008  ,-1.998508981452e-001  
  2.908986046582e-008  ,-1.986947125618e-001  
  3.008991464645e-008  ,-1.972855845973e-001  
  3.108996882707e-008  ,-1.955880179375e-001  
  3.209002300769e-008  ,-1.935646528138e-001  
  3.309007718831e-008  ,-1.911765093479e-001  
  3.409013136894e-008  ,-1.883832675226e-001  
  3.509018554956e-008  ,-1.851435516794e-001  
  3.609023973018e-008  ,-1.814152301661e-001  
  3.709029391080e-008  ,-1.771557378246e-001  
  3.809034809142e-008  ,-1.723224009996e-001  
  3.909040227205e-008  ,-1.668727628617e-001  
  4.009045645267e-008  ,-1.607649146675e-001  
  4.109051063329e-008  ,-1.539578194549e-001  
  4.209056481391e-008  ,-1.464116270674e-001  
  4.309061899453e-008  ,-1.380879801786e-001  
  4.409067317516e-008  ,-1.289503115667e-001  
  4.509072735578e-008  ,-1.189641390980e-001  
  4.609078153640e-008  ,-1.080973498504e-001  
  4.709083571702e-008  ,-9.632046883663e-002  
  4.809088989764e-008  ,-8.360685140707e-002  
  4.909094407827e-008  ,-6.993253416116e-002  
  5.009099825889e-008  ,-5.527534446304e-002  
  5.109105243951e-008  ,-3.961417358247e-002  
  5.209110662013e-008  ,-2.293171790717e-002  
  5.309116080075e-008  ,-5.218959219754e-003  
  5.409121498138e-008  ,1.352794093346e-002  
  5.509126916200e-008  ,3.331039137394e-002  
  5.592750370175e-008  ,5.065039234161e-002  
  5.605251047432e-008  ,5.330496706673e-002  
  5.625043980449e-008  ,5.754135032649e-002  
  5.644273463309e-008  ,6.169619229903e-002  
  5.648061617881e-008  ,6.251922250606e-002  
  5.655637927026e-008  ,6.416976085189e-002  
  5.657532004312e-008  ,6.458332826479e-002  
  5.661320158884e-008  ,6.541158203371e-002  
  5.664184557877e-008  ,6.603885347248e-002  
  5.666291966241e-008  ,6.650089692885e-002  
  5.667479984600e-008  ,6.676157011610e-002  
  5.668998331435e-008  ,6.709493699167e-002  
  5.670949452229e-008  ,6.752367504537e-002  
  5.674851693816e-008  ,6.838233769398e-002  
  5.681585156031e-008  ,6.986771074696e-002  
  5.695052080460e-008  ,7.285257449456e-002  
  5.707704097636e-008  ,7.567395592521e-002  
  5.722358458348e-008  ,7.896259260678e-002  
  5.743823115386e-008  ,8.381966271502e-002  
  5.750000000000e-008  ,8.522620594358e-002  
  5.760000000000e-008  ,8.751166653268e-002  
  5.770000000000e-008  ,8.980744326050e-002  
  5.820000000965e-008  ,9.675655209494e-002  
  5.830000000965e-008  ,9.909348825983e-002  
  5.833280002657e-008  ,9.986224230208e-002  
  5.839840006042e-008  ,1.014030620296e-001  
  5.847918065224e-008  ,1.033065064661e-001  
  5.864074183587e-008  ,1.071334447688e-001  
  5.880000000000e-008  ,1.109319586624e-001  
  5.890000000000e-008  ,1.133303353148e-001  
  5.940000000965e-008  ,1.292220376311e-001  
  6.001262399923e-008  ,1.445413471172e-001  
  6.013763077181e-008  ,1.477136860395e-001  
  6.038764431696e-008  ,1.541052419525e-001  
  6.088767140728e-008  ,1.670748383721e-001  
  6.188772558790e-008  ,1.937524459855e-001  
  6.263045534115e-008  ,2.141926823566e-001  
  6.342422157150e-008  ,2.366182883661e-001  
  6.420243471485e-008  ,2.591764187217e-001  
  6.520248889547e-008  ,2.889808398098e-001  
  6.620254307609e-008  ,3.196707206308e-001  
  6.632754984867e-008  ,3.235690209663e-001  
  6.657756339382e-008  ,3.314057596763e-001  
  6.664006678011e-008  ,3.333732878851e-001  
  6.676507355269e-008  ,3.373183049204e-001  
  6.679632524584e-008  ,3.383066277825e-001  
  6.685882863212e-008  ,3.402857471202e-001  
  6.698383540470e-008  ,3.442538514059e-001  
  6.723384894986e-008  ,3.522292856405e-001  
  6.729635233615e-008  ,3.542313044760e-001  
  6.742135910872e-008  ,3.582450559578e-001  
  6.767137265388e-008  ,3.663111513236e-001  
  6.817139974419e-008  ,3.825960930802e-001  
  6.827166826088e-008  ,3.858859877015e-001  
  6.847220529426e-008  ,3.924898334174e-001  
  6.887327936102e-008  ,4.057927813715e-001  
  6.967542749453e-008  ,4.327718232557e-001  
  7.045652773786e-008  ,4.595062474937e-001  
  7.123464774896e-008  ,4.865789446064e-001  
  7.134716315750e-008  ,4.905298256185e-001  
  7.157219397459e-008  ,4.984579546887e-001  
  7.202225560878e-008  ,5.144181244662e-001  
  7.213477101732e-008  ,5.184297375994e-001  
  7.235980183441e-008  ,5.264783287578e-001  
  7.280986346860e-008  ,5.426752514352e-001  
  7.370998673696e-008  ,5.754555036243e-001  
  7.383499350954e-008  ,5.800485036670e-001  
  7.408500705470e-008  ,5.892630314748e-001  
  7.409281997798e-008  ,5.895515959125e-001  
  7.410844582455e-008  ,5.901288350915e-001  
  7.413969751770e-008  ,5.912837536189e-001  
  7.420220090399e-008  ,5.935953466506e-001  
  7.432720767656e-008  ,5.982255226676e-001  
  7.457722122172e-008  ,6.075136102184e-001  
  7.507724831203e-008  ,6.261986524420e-001  
  7.579976836542e-008  ,6.534453460670e-001  
  7.650254438022e-008  ,6.802181862559e-001  
  7.744951317409e-008  ,7.166985452889e-001  
  7.820407072405e-008  ,7.460770141076e-001  
  7.902084062198e-008  ,7.781750969571e-001  
  7.958289379576e-008  ,8.004300649682e-001  
  8.017763639191e-008  ,8.241204160373e-001  
  8.080572033623e-008  ,8.492900031640e-001  
  8.178845191697e-008  ,8.889564957650e-001  
  8.273709709147e-008  ,9.275438825869e-001  
  8.373715127209e-008  ,9.685123662601e-001  
  8.473720545272e-008  ,1.009725166148e+000  
  8.573725963334e-008  ,1.051142931751e+000  
  8.673731381396e-008  ,1.092720774037e+000  
  8.773736799458e-008  ,1.134422489959e+000  
  8.873742217520e-008  ,1.176175469124e+000  
  8.973747635583e-008  ,1.217942119581e+000  
  9.073753053645e-008  ,1.259643641551e+000  
  9.173758471707e-008  ,1.301222936754e+000  
  9.273763889769e-008  ,1.342631910531e+000  
  9.373769307831e-008  ,1.383786488110e+000  
  9.473774725894e-008  ,1.424600168354e+000  
  9.573780143956e-008  ,1.465021438680e+000  
  9.673785562018e-008  ,1.504944490186e+000  
  9.773790980080e-008  ,1.544314277330e+000  
  9.873796398142e-008  ,1.583018653325e+000  
  9.973801816205e-008  ,1.621000103376e+000  
  1.007380723427e-007  ,1.658142506641e+000  
  1.017381265233e-007  ,1.694387182447e+000  
  1.027381807039e-007  ,1.729616738415e+000  
  1.037382348845e-007  ,1.763753463575e+000  
  1.047382890652e-007  ,1.796714123170e+000  
  1.057383432458e-007  ,1.828435594012e+000  
  1.067383974264e-007  ,1.858813695505e+000  
  1.077384516070e-007  ,1.887767842827e+000  
  1.087385057876e-007  ,1.915208436205e+000  
  1.097385599683e-007  ,1.941071213172e+000  
  1.107386141489e-007  ,1.965289984628e+000  
  1.117386683295e-007  ,1.987816415143e+000  
  1.127387225101e-007  ,2.008564505694e+000  
  1.137387766908e-007  ,2.027498473487e+000  
