  Time                 , V(VOUT)              
  0.000000000000e+000  ,-1.008731702065e-001  
  1.000000000000e-011  ,-1.008731702065e-001  
  2.000000000000e-011  ,-1.008731702005e-001  
  3.543958205730e-011  ,-1.008731701837e-001  
  6.631874617189e-011  ,-1.008731701467e-001  
  1.280770744011e-010  ,-1.008731702874e-001  
  2.375424015149e-010  ,-1.008731713104e-001  
  3.989173206314e-010  ,-1.008731735356e-001  
  7.216671588644e-010  ,-1.008731745791e-001  
  1.367166835330e-009  ,-1.008731324593e-001  
  2.367221015953e-009  ,-1.008727276132e-001  
  3.367275196575e-009  ,-1.008715003468e-001  
  4.367329377197e-009  ,-1.008693357549e-001  
  5.367383557819e-009  ,-1.008663100474e-001  
  6.367437738441e-009  ,-1.008627111982e-001  
  7.367491919063e-009  ,-1.008588831231e-001  
  8.367546099685e-009  ,-1.008550319708e-001  
  9.367600280307e-009  ,-1.008513888045e-001  
  1.036765446093e-008  ,-1.008481565128e-001  
  1.136770864155e-008  ,-1.008454278219e-001  
  1.236776282217e-008  ,-1.008429138911e-001  
  1.336781700280e-008  ,-1.008394850028e-001  
  1.436787118342e-008  ,-1.008328503103e-001  
  1.536792536404e-008  ,-1.008203450269e-001  
  1.636797954466e-008  ,-1.007959060048e-001  
  1.736803372528e-008  ,-1.007513083699e-001  
  1.836808790591e-008  ,-1.006752238889e-001  
  1.936814208653e-008  ,-1.005494566601e-001  
  2.036819626715e-008  ,-1.003608851348e-001  
  2.136825044777e-008  ,-1.000835795968e-001  
  2.236830462839e-008  ,-9.968385565145e-002  
  2.336835880902e-008  ,-9.913914739949e-002  
  2.436841298964e-008  ,-9.840654075841e-002  
  2.536846717026e-008  ,-9.744272460616e-002  
  2.636852135088e-008  ,-9.619918392470e-002  
  2.736857553151e-008  ,-9.462228473263e-002  
  2.836862971213e-008  ,-9.265343611254e-002  
  2.936868389275e-008  ,-9.022933852652e-002  
  3.036873807337e-008  ,-8.728230607733e-002  
  3.136879225399e-008  ,-8.374065473104e-002  
  3.236884643462e-008  ,-7.951602656759e-002  
  3.336890061524e-008  ,-7.453817612794e-002  
  3.436895479586e-008  ,-6.874902238289e-002  
  3.536900897648e-008  ,-6.204869132067e-002  
  3.636906315710e-008  ,-5.435329646790e-002  
  3.736911733773e-008  ,-4.557830219661e-002  
  3.836917151835e-008  ,-3.563882218233e-002  
  3.936922569897e-008  ,-2.444990779876e-002  
  4.036927987959e-008  ,-1.192723931911e-002  
  4.136933406021e-008  ,2.010798317402e-003  
  4.236938824084e-008  ,1.745308498590e-002  
  4.336944242146e-008  ,3.444771457404e-002  
  4.436949660208e-008  ,5.307712240546e-002  
  4.449450337466e-008  ,5.552346619055e-002  
  4.474451691981e-008  ,6.049662160759e-002  
  4.500766211327e-008  ,6.584791360689e-002  
  4.503741786953e-008  ,6.646057666218e-002  
  4.509692938205e-008  ,6.769054765334e-002  
  4.521595240708e-008  ,7.016911338866e-002  
  4.527596450549e-008  ,7.142826326103e-002  
  4.529145647444e-008  ,7.175433857918e-002  
  4.531244033620e-008  ,7.219668197271e-002  
  4.533687882263e-008  ,7.271282853471e-002  
  4.538575579550e-008  ,7.374828690687e-002  
  4.548350974124e-008  ,7.583189558639e-002  
  4.560271903079e-008  ,7.839579141746e-002  
  4.574085745167e-008  ,8.139849948361e-002  
  4.587424612742e-008  ,8.433034908161e-002  
  4.610000000000e-008  ,8.936534505268e-002  
  4.620000000000e-008  ,9.162507831422e-002  
  4.670000000965e-008  ,1.008464168755e-001  
  4.680000000965e-008  ,1.031974876171e-001  
  4.684108879749e-008  ,1.041688527630e-001  
  4.692326637317e-008  ,1.061209329653e-001  
  4.704848269332e-008  ,1.091194057576e-001  
  4.720000000000e-008  ,1.127865930034e-001  
  4.730000000000e-008  ,1.152303321483e-001  
  4.740000000000e-008  ,1.176927537911e-001  
  4.790000000965e-008  ,1.192511873832e-001  
  4.802579840642e-008  ,1.223903319517e-001  
  4.815553164106e-008  ,1.256588867856e-001  
  4.828815197568e-008  ,1.290330206578e-001  
  4.843246040862e-008  ,1.327424130068e-001  
  4.843697004715e-008  ,1.328589678629e-001  
  4.844598932421e-008  ,1.330921936142e-001  
  4.846402787833e-008  ,1.335591093850e-001  
  4.850010498656e-008  ,1.344947990650e-001  
  4.857225920303e-008  ,1.363736181824e-001  
  4.871656763597e-008  ,1.401610808586e-001  
  4.900518450184e-008  ,1.478558024670e-001  
  4.958241823359e-008  ,1.637282110455e-001  
  5.058247241421e-008  ,1.927736801513e-001  
  5.070747918679e-008  ,1.965424697060e-001  
  5.095749273194e-008  ,2.041734133354e-001  
  5.145751982225e-008  ,2.198107351757e-001  
  5.203456728948e-008  ,2.384823596201e-001  
  5.262437387599e-008  ,2.582628071914e-001  
  5.362442805661e-008  ,2.934237282135e-001  
  5.462448223723e-008  ,3.306373982371e-001  
  5.562453641785e-008  ,3.699087905844e-001  
  5.662459059848e-008  ,4.112421604483e-001  
  5.674959737105e-008  ,4.165537208674e-001  
  5.699961091621e-008  ,4.272732811657e-001  
  5.749963800652e-008  ,4.490975428395e-001  
  5.760583206309e-008  ,4.537985266164e-001  
  5.781822017623e-008  ,4.632697503715e-001  
  5.824299640251e-008  ,4.824886751444e-001  
  5.834919045908e-008  ,4.873509211328e-001  
  5.856157857223e-008  ,4.971442194095e-001  
  5.898635479851e-008  ,5.170054121001e-001  
  5.909254885508e-008  ,5.220277908121e-001  
  5.930493696822e-008  ,5.321408452050e-001  
  5.972971319450e-008  ,5.526392827115e-001  
  5.979722243963e-008  ,5.559304386622e-001  
  5.993224092988e-008  ,5.625401293159e-001  
  6.020227791039e-008  ,5.758686750053e-001  
  6.074235187141e-008  ,6.029598314214e-001  
  6.162282423345e-008  ,6.483541411644e-001  
  6.173350027992e-008  ,6.541678122592e-001  
  6.195485237284e-008  ,6.658662747871e-001  
  6.239755655868e-008  ,6.895462766425e-001  
  6.241139106449e-008  ,6.902923424719e-001  
  6.243906007610e-008  ,6.917855715890e-001  
  6.249439809933e-008  ,6.947764161871e-001  
  6.260507414579e-008  ,7.007756223928e-001  
  6.282642623872e-008  ,7.128438719277e-001  
  6.326913042456e-008  ,7.372581443560e-001  
  6.337980647102e-008  ,7.434193425235e-001  
  6.360115856394e-008  ,7.558103468710e-001  
  6.404386274979e-008  ,7.808645648584e-001  
  6.466915272638e-008  ,8.168645961649e-001  
  6.545761041805e-008  ,8.632631904687e-001  
  6.623703428075e-008  ,9.102084339825e-001  
  6.723205931947e-008  ,9.716448180414e-001  
  6.818089075849e-008  ,1.031755299476e+000  
  6.918094493911e-008  ,1.096677873484e+000  
  7.008442096874e-008  ,1.156646718649e+000  
  7.104200683996e-008  ,1.221493268447e+000  
  7.204206102058e-008  ,1.290557194269e+000  
  7.304211520121e-008  ,1.360928800684e+000  
  7.404216938183e-008  ,1.432495259849e+000  
  7.504222356245e-008  ,1.505133704613e+000  
  7.604227774307e-008  ,1.578768372432e+000  
  7.704233192369e-008  ,1.653239070375e+000  
  7.804238610432e-008  ,1.728427956704e+000  
  7.904244028494e-008  ,1.804235096913e+000  
  8.004249446556e-008  ,1.880458476427e+000  
  8.104254864618e-008  ,1.956993199251e+000  
  8.204260282681e-008  ,2.033621295429e+000  
  8.304265700743e-008  ,2.110227189502e+000  
  8.404271118805e-008  ,2.186603844351e+000  
  8.504276536867e-008  ,2.262565243303e+000  
  8.604281954929e-008  ,2.337886765055e+000  
  8.704287372992e-008  ,2.412436968477e+000  
  8.804292791054e-008  ,2.485983428074e+000  
  8.904298209116e-008  ,2.558289017155e+000  
  9.004303627178e-008  ,2.629217360920e+000  
  9.104309045240e-008  ,2.698495811800e+000  
  9.204314463303e-008  ,2.765988682001e+000  
  9.304319881365e-008  ,2.831460104142e+000  
  9.404325299427e-008  ,2.894711742339e+000  
  9.504330717489e-008  ,2.955518814058e+000  
  9.604336135551e-008  ,3.013716539670e+000  
  9.704341553614e-008  ,3.069132377207e+000  
