  Time                 , V(VOUT)              
  0.000000000000e+000  ,-2.725310790943e-001  
  1.000000000000e-011  ,-2.725310790228e-001  
  2.000000000000e-011  ,-2.725310789573e-001  
  3.543958205730e-011  ,-2.725310788639e-001  
  6.631874617189e-011  ,-2.725310787318e-001  
  1.280770744011e-010  ,-2.725310786924e-001  
  2.375424015149e-010  ,-2.725310792068e-001  
  3.989173206314e-010  ,-2.725310803313e-001  
  7.216671588644e-010  ,-2.725310797225e-001  
  1.367166835330e-009  ,-2.725310368230e-001  
  2.367221015953e-009  ,-2.725306466248e-001  
  3.367275196575e-009  ,-2.725296042883e-001  
  4.367329377197e-009  ,-2.725277809115e-001  
  5.367383557819e-009  ,-2.725251684642e-001  
  6.367437738441e-009  ,-2.725221272234e-001  
  7.367491919063e-009  ,-2.725188574414e-001  
  8.367546099685e-009  ,-2.725156751715e-001  
  9.367600280307e-009  ,-2.725127682909e-001  
  1.036765446093e-008  ,-2.725102879112e-001  
  1.136770864155e-008  ,-2.725084290834e-001  
  1.236776282217e-008  ,-2.725068532274e-001  
  1.336781700280e-008  ,-2.725048457646e-001  
  1.436787118342e-008  ,-2.724996220313e-001  
  1.536792536404e-008  ,-2.724871844623e-001  
  1.636797954466e-008  ,-2.724612098346e-001  
  1.736803372528e-008  ,-2.724125360875e-001  
  1.836808790591e-008  ,-2.723322306175e-001  
  1.849309467848e-008  ,-2.723192105186e-001  
  1.874310822364e-008  ,-2.722907724644e-001  
  1.924313531395e-008  ,-2.722230815410e-001  
  2.024318949457e-008  ,-2.720311461030e-001  
  2.124324367519e-008  ,-2.717484132111e-001  
  2.224329785582e-008  ,-2.713429557101e-001  
  2.324335203644e-008  ,-2.707715702719e-001  
  2.424340621706e-008  ,-2.699950648272e-001  
  2.524346039768e-008  ,-2.689786638360e-001  
  2.624351457831e-008  ,-2.676587817813e-001  
  2.724356875893e-008  ,-2.659746509207e-001  
  2.824362293955e-008  ,-2.638592935271e-001  
  2.924367712017e-008  ,-2.612396956681e-001  
  3.024373130079e-008  ,-2.580370732130e-001  
  3.124378548142e-008  ,-2.541672229111e-001  
  3.224383966204e-008  ,-2.495409675082e-001  
  3.324389384266e-008  ,-2.440483059843e-001  
  3.424394802328e-008  ,-2.376238430809e-001  
  3.524400220390e-008  ,-2.301510441291e-001  
  3.624405638453e-008  ,-2.215089078890e-001  
  3.724411056515e-008  ,-2.116035443548e-001  
  3.824416474577e-008  ,-2.003582615405e-001  
  3.924421892639e-008  ,-1.876252620899e-001  
  4.024427310701e-008  ,-1.733103815194e-001  
  4.124432728764e-008  ,-1.573129115573e-001  
  4.224438146826e-008  ,-1.395568312169e-001  
  4.324443564888e-008  ,-1.199008670546e-001  
  4.424448982950e-008  ,-9.826215254726e-002  
  4.524454401013e-008  ,-7.455305988626e-002  
  4.624459819075e-008  ,-4.869712121850e-002  
  4.724465237137e-008  ,-2.056437101265e-002  
  4.824470655199e-008  ,9.898317661893e-003  
  4.924476073261e-008  ,4.274563457455e-002  
  5.024481491324e-008  ,7.802477661237e-002  
  5.090996549603e-008  ,1.028808293371e-001  
  5.099619432490e-008  ,1.061848284506e-001  
  5.116865198266e-008  ,1.128497453148e-001  
  5.134916558068e-008  ,1.199079140158e-001  
  5.152159995537e-008  ,1.267285667270e-001  
  5.156470854904e-008  ,1.284457264654e-001  
  5.161537249710e-008  ,1.304699828595e-001  
  5.166486647118e-008  ,1.324539057101e-001  
  5.167835318621e-008  ,1.329956085341e-001  
  5.170532661628e-008  ,1.340804276185e-001  
  5.173594384592e-008  ,1.353140777165e-001  
  5.178121776458e-008  ,1.371427382739e-001  
  5.187176560190e-008  ,1.408160149544e-001  
  5.199686550673e-008  ,1.459260144618e-001  
  5.215151162025e-008  ,1.522991773990e-001  
  5.229274668869e-008  ,1.581740817021e-001  
  5.250000000000e-008  ,1.668894337543e-001  
  5.260000000000e-008  ,1.711347948889e-001  
  5.310000000965e-008  ,1.883787665396e-001  
  5.320000000965e-008  ,1.927554357647e-001  
  5.324108879749e-008  ,1.945613931265e-001  
  5.332326637317e-008  ,1.981866670991e-001  
  5.340551379804e-008  ,2.018328702980e-001  
  5.357000864778e-008  ,2.091789160236e-001  
  5.360000000000e-008  ,2.105259864083e-001  
  5.370000000000e-008  ,2.150347293508e-001  
  5.420000000965e-008  ,2.283549524905e-001  
  5.478412552845e-008  ,2.556763522210e-001  
  5.548522516262e-008  ,2.896725884093e-001  
  5.558593605753e-008  ,2.946642036213e-001  
  5.578735784736e-008  ,3.047291164038e-001  
  5.619020142701e-008  ,3.251861048222e-001  
  5.629091232192e-008  ,3.303685241461e-001  
  5.649233411174e-008  ,3.408152701226e-001  
  5.689517769139e-008  ,3.620365407846e-001  
  5.770086485069e-008  ,4.057904096362e-001  
  5.846380430382e-008  ,4.488329347823e-001  
  5.919219168943e-008  ,4.913853923440e-001  
  6.008495750945e-008  ,5.454746897612e-001  
  6.096002820056e-008  ,6.005499569361e-001  
  6.108503497314e-008  ,6.085830328836e-001  
  6.133504851829e-008  ,6.247726204862e-001  
  6.183507560860e-008  ,6.576431918852e-001  
  6.253282248151e-008  ,7.045987095118e-001  
  6.261990114223e-008  ,7.105475832764e-001  
  6.279405846369e-008  ,7.225039438859e-001  
  6.314237310659e-008  ,7.466502251371e-001  
  6.322945176732e-008  ,7.527354089935e-001  
  6.340360908877e-008  ,7.649638093323e-001  
  6.375192373168e-008  ,7.896516763278e-001  
  6.383900239240e-008  ,7.958717338823e-001  
  6.401315971386e-008  ,8.083692111025e-001  
  6.405669904422e-008  ,8.115055246119e-001  
  6.414377770495e-008  ,8.177924424177e-001  
  6.431793502640e-008  ,8.304232954436e-001  
  6.466624966931e-008  ,8.559121668854e-001  
  6.475332833003e-008  ,8.623315732960e-001  
  6.492748565149e-008  ,8.752266971996e-001  
  6.527580029439e-008  ,9.012409160372e-001  
  6.536287895512e-008  ,9.077910741421e-001  
  6.553703627657e-008  ,9.209469255941e-001  
  6.586206785511e-008  ,9.456969027332e-001  
  6.594332574975e-008  ,9.519243733782e-001  
  6.610584153902e-008  ,9.644269978747e-001  
  6.643087311756e-008  ,9.896219929292e-001  
  6.708093627464e-008  ,1.040762830388e+000  
  6.778808950555e-008  ,1.097512076142e+000  
  6.788978993069e-008  ,1.105768930811e+000  
  6.809319078099e-008  ,1.122353705027e+000  
  6.849999248158e-008  ,1.155803969754e+000  
  6.931359588277e-008  ,1.223809166039e+000  
  7.031365006339e-008  ,1.309369413260e+000  
