  Time                 , V(VOUT)              
  0.000000000000e+000  ,-1.317533122645e+001  
  1.000000000000e-011  ,-1.317533122645e+001  
  2.000000000000e-011  ,-1.317533122645e+001  
  4.000015228987e-011  ,-1.317533122644e+001  
  4.500019036233e-011  ,-1.317533122644e+001  
  5.500026650727e-011  ,-1.317533122644e+001  
  7.500041879714e-011  ,-1.317533122644e+001  
  1.150007233769e-010  ,-1.317533122644e+001  
  1.950013325363e-010  ,-1.317533122644e+001  
  3.550025508553e-010  ,-1.317533122644e+001  
  6.750049874932e-010  ,-1.317533122645e+001  
  1.315009860769e-009  ,-1.317533122656e+001  
  2.128892658725e-009  ,-1.317533122697e+001  
  3.128946839347e-009  ,-1.317533122798e+001  
  4.129001019970e-009  ,-1.317533122954e+001  
  5.129055200592e-009  ,-1.317533123151e+001  
  6.129109381214e-009  ,-1.317533123383e+001  
  7.129163561836e-009  ,-1.317533123643e+001  
  8.129217742458e-009  ,-1.317533123928e+001  
  9.129271923080e-009  ,-1.317533124235e+001  
  1.012932610370e-008  ,-1.317533124562e+001  
  1.112938028432e-008  ,-1.317533124906e+001  
  1.212943446495e-008  ,-1.317533125264e+001  
  1.312948864557e-008  ,-1.317533125635e+001  
  1.412954282619e-008  ,-1.317533126016e+001  
  1.512959700681e-008  ,-1.317533126407e+001  
  1.612965118743e-008  ,-1.317533126806e+001  
  1.712970536806e-008  ,-1.317533127212e+001  
  1.812975954868e-008  ,-1.317533127623e+001  
  1.912981372930e-008  ,-1.317533128040e+001  
  2.012986790992e-008  ,-1.317533128462e+001  
  2.112992209055e-008  ,-1.317533128887e+001  
  2.212997627117e-008  ,-1.317533129315e+001  
  2.313003045179e-008  ,-1.317533129747e+001  
  2.413008463241e-008  ,-1.317533130181e+001  
  2.513013881303e-008  ,-1.317533130617e+001  
  2.613019299366e-008  ,-1.317533131055e+001  
  2.713024717428e-008  ,-1.317533131494e+001  
  2.813030135490e-008  ,-1.317533131935e+001  
  2.913035553552e-008  ,-1.317533132377e+001  
  3.013040971614e-008  ,-1.317533132820e+001  
  3.113046389677e-008  ,-1.317533133264e+001  
  3.213051807739e-008  ,-1.317533133708e+001  
  3.313057225801e-008  ,-1.317533134153e+001  
  3.413062643863e-008  ,-1.317533134599e+001  
  3.513068061925e-008  ,-1.317533135045e+001  
  3.613073479988e-008  ,-1.317533135492e+001  
  3.713078898050e-008  ,-1.317533135939e+001  
  3.813084316112e-008  ,-1.317533136386e+001  
  3.913089734174e-008  ,-1.317533136834e+001  
  4.013095152237e-008  ,-1.317533137281e+001  
  4.113100570299e-008  ,-1.317533137729e+001  
  4.213105988361e-008  ,-1.317533138177e+001  
  4.313111406423e-008  ,-1.317533138625e+001  
  4.413116824485e-008  ,-1.317533139073e+001  
  4.513122242548e-008  ,-1.317533139521e+001  
  4.613127660610e-008  ,-1.317533139970e+001  
  4.713133078672e-008  ,-1.317533140418e+001  
  4.813138496734e-008  ,-1.317533140866e+001  
  4.913143914796e-008  ,-1.317533141314e+001  
  5.013149332859e-008  ,-1.317533141763e+001  
  5.113154750921e-008  ,-1.317533142211e+001  
  5.213160168983e-008  ,-1.317533142659e+001  
  5.313165587045e-008  ,-1.317533143107e+001  
  5.413171005107e-008  ,-1.317533143556e+001  
  5.513176423170e-008  ,-1.317533144004e+001  
  5.613181841232e-008  ,-1.317533144452e+001  
  5.713187259294e-008  ,-1.317533144900e+001  
  5.813192677356e-008  ,-1.317533145348e+001  
  5.913198095419e-008  ,-1.317533145796e+001  
  6.013203513481e-008  ,-1.317533146243e+001  
  6.113208931543e-008  ,-1.317533146691e+001  
  6.213214349605e-008  ,-1.317533147139e+001  
  6.313219767667e-008  ,-1.317533147587e+001  
  6.413225185730e-008  ,-1.317533148034e+001  
  6.513230603792e-008  ,-1.317533148482e+001  
  6.613236021854e-008  ,-1.317533148929e+001  
  6.713241439916e-008  ,-1.317533149377e+001  
  6.813246857978e-008  ,-1.317533149824e+001  
  6.913252276041e-008  ,-1.317533150271e+001  
  7.013257694103e-008  ,-1.317533150718e+001  
  7.113263112165e-008  ,-1.317533151165e+001  
  7.213268530227e-008  ,-1.317533151613e+001  
  7.313273948289e-008  ,-1.317533152059e+001  
  7.413279366352e-008  ,-1.317533152506e+001  
  7.513284784414e-008  ,-1.317533152953e+001  
  7.613290202476e-008  ,-1.317533153400e+001  
  7.713295620538e-008  ,-1.317533153847e+001  
  7.813301038601e-008  ,-1.317533154293e+001  
  7.913306456663e-008  ,-1.317533154740e+001  
  8.013311874725e-008  ,-1.317533155186e+001  
  8.113317292787e-008  ,-1.317533155632e+001  
  8.213322710849e-008  ,-1.317533156079e+001  
  8.313328128912e-008  ,-1.317533156525e+001  
  8.413333546974e-008  ,-1.317533156971e+001  
  8.513338965036e-008  ,-1.317533157417e+001  
  8.613344383098e-008  ,-1.317533157863e+001  
  8.713349801160e-008  ,-1.317533158309e+001  
  8.813355219223e-008  ,-1.317533158755e+001  
  8.913360637285e-008  ,-1.317533159201e+001  
  9.013366055347e-008  ,-1.317533159646e+001  
  9.113371473409e-008  ,-1.317533160092e+001  
  9.213376891471e-008  ,-1.317533160537e+001  
  9.313382309534e-008  ,-1.317533160983e+001  
  9.413387727596e-008  ,-1.317533161428e+001  
  9.513393145658e-008  ,-1.317533161873e+001  
  9.613398563720e-008  ,-1.317533162319e+001  
  9.713403981783e-008  ,-1.317533162764e+001  
  9.813409399845e-008  ,-1.317533163209e+001  
  9.913414817907e-008  ,-1.317533163654e+001  
  1.001342023597e-007  ,-1.317533164099e+001  
  1.011342565403e-007  ,-1.317533164543e+001  
  1.021343107209e-007  ,-1.317533164988e+001  
  1.031343649016e-007  ,-1.317533165433e+001  
  1.041344190822e-007  ,-1.317533165877e+001  
  1.051344732628e-007  ,-1.317533166322e+001  
  1.061345274434e-007  ,-1.317533166766e+001  
  1.071345816240e-007  ,-1.317533167210e+001  
  1.081346358047e-007  ,-1.317533167655e+001  
  1.091346899853e-007  ,-1.317533168099e+001  
  1.101347441659e-007  ,-1.317533168543e+001  
  1.111347983465e-007  ,-1.317533168987e+001  
  1.121348525272e-007  ,-1.317533169431e+001  
  1.131349067078e-007  ,-1.317533169875e+001  
  1.141349608884e-007  ,-1.317533170319e+001  
  1.151350150690e-007  ,-1.317533170762e+001  
  1.161350692496e-007  ,-1.317533171206e+001  
  1.171351234303e-007  ,-1.317533171649e+001  
  1.181351776109e-007  ,-1.317533172093e+001  
  1.191352317915e-007  ,-1.317533172536e+001  
  1.201352859721e-007  ,-1.317533172979e+001  
  1.211353401528e-007  ,-1.317533173423e+001  
  1.221353943334e-007  ,-1.317533173866e+001  
  1.231354485140e-007  ,-1.317533174309e+001  
  1.241355026946e-007  ,-1.317533174752e+001  
  1.251355568752e-007  ,-1.317533175195e+001  
  1.261356110559e-007  ,-1.317533175638e+001  
  1.271356652365e-007  ,-1.317533176080e+001  
  1.281357194171e-007  ,-1.317533176523e+001  
  1.291357735977e-007  ,-1.317533176966e+001  
  1.301358277784e-007  ,-1.317533177408e+001  
  1.311358819590e-007  ,-1.317533177850e+001  
  1.321359361396e-007  ,-1.317533178293e+001  
  1.331359903202e-007  ,-1.317533178735e+001  
  1.341360445008e-007  ,-1.317533179177e+001  
  1.351360986815e-007  ,-1.317533179619e+001  
  1.361361528621e-007  ,-1.317533180061e+001  
  1.371362070427e-007  ,-1.317533180503e+001  
  1.381362612233e-007  ,-1.317533180945e+001  
  1.391363154040e-007  ,-1.317533181387e+001  
  1.401363695846e-007  ,-1.317533181829e+001  
  1.411364237652e-007  ,-1.317533182270e+001  
  1.421364779458e-007  ,-1.317533182712e+001  
  1.431365321264e-007  ,-1.317533183153e+001  
  1.441365863071e-007  ,-1.317533183595e+001  
  1.451366404877e-007  ,-1.317533184036e+001  
  1.461366946683e-007  ,-1.317533184477e+001  
  1.471367488489e-007  ,-1.317533184919e+001  
  1.481368030296e-007  ,-1.317533185360e+001  
  1.491368572102e-007  ,-1.317533185801e+001  
  1.501369113908e-007  ,-1.317533186242e+001  
  1.511369655714e-007  ,-1.317533186682e+001  
  1.521370197520e-007  ,-1.317533187123e+001  
  1.531370739327e-007  ,-1.317533187564e+001  
  1.541371281133e-007  ,-1.317533188004e+001  
  1.551371822939e-007  ,-1.317533188445e+001  
  1.561372364745e-007  ,-1.317533188885e+001  
  1.571372906552e-007  ,-1.317533189326e+001  
  1.581373448358e-007  ,-1.317533189766e+001  
  1.591373990164e-007  ,-1.317533190206e+001  
  1.601374531970e-007  ,-1.317533190646e+001  
  1.611375073776e-007  ,-1.317533191086e+001  
  1.621375615583e-007  ,-1.317533191526e+001  
  1.631376157389e-007  ,-1.317533191966e+001  
  1.641376699195e-007  ,-1.317533192406e+001  
  1.651377241001e-007  ,-1.317533192846e+001  
  1.661377782808e-007  ,-1.317533193286e+001  
  1.671378324614e-007  ,-1.317533193725e+001  
  1.681378866420e-007  ,-1.317533194165e+001  
  1.691379408226e-007  ,-1.317533194604e+001  
  1.701379950032e-007  ,-1.317533195043e+001  
  1.711380491839e-007  ,-1.317533195483e+001  
  1.721381033645e-007  ,-1.317533195922e+001  
  1.731381575451e-007  ,-1.317533196361e+001  
  1.741382117257e-007  ,-1.317533196800e+001  
  1.751382659063e-007  ,-1.317533197239e+001  
  1.761383200870e-007  ,-1.317533197678e+001  
  1.771383742676e-007  ,-1.317533198117e+001  
  1.781384284482e-007  ,-1.317533198555e+001  
  1.791384826288e-007  ,-1.317533198994e+001  
  1.801385368095e-007  ,-1.317533199433e+001  
  1.811385909901e-007  ,-1.317533199871e+001  
  1.821386451707e-007  ,-1.317533200309e+001  
  1.831386993513e-007  ,-1.317533200748e+001  
