  Time                 , V(VOUT)              
  0.000000000000e+000  ,-2.142249233451e-001  
  1.000000000000e-011  ,-2.142249233452e-001  
  1.036934579839e-011  ,-2.142249233452e-001  
  1.110803739517e-011  ,-2.142249233450e-001  
  1.258542058873e-011  ,-2.142249233445e-001  
  1.554018697585e-011  ,-2.142249233435e-001  
  2.144971975009e-011  ,-2.142249233429e-001  
  3.326878529857e-011  ,-2.142249233365e-001  
  5.474741217564e-011  ,-2.142249233366e-001  
  7.752115950803e-011  ,-2.142249233876e-001  
  1.050388312049e-010  ,-2.142249235289e-001  
  1.489041244693e-010  ,-2.142249239007e-001  
  1.956565177150e-010  ,-2.142249242991e-001  
  2.744580490596e-010  ,-2.142249247800e-001  
  4.034695087082e-010  ,-2.142249249083e-001  
  6.117830855853e-010  ,-2.142249227084e-001  
  8.821460289962e-010  ,-2.142249164718e-001  
  1.358703790427e-009  ,-2.142248685761e-001  
  1.839731900216e-009  ,-2.142247128835e-001  
  2.514381973267e-009  ,-2.142241763561e-001  
  3.424656657696e-009  ,-2.142226712927e-001  
  4.424710838319e-009  ,-2.142205741346e-001  
  5.424765018941e-009  ,-2.142209295874e-001  
  6.424819199563e-009  ,-2.142347008643e-001  
  7.424873380185e-009  ,-2.142739545852e-001  
  8.424927560807e-009  ,-2.143668262407e-001  
  9.424981741429e-009  ,-2.145482034387e-001  
  1.042503592205e-008  ,-2.148479728790e-001  
  1.140497353506e-008  ,-2.152511498756e-001  
  1.240502771568e-008  ,-2.157157003188e-001  
  1.340508189631e-008  ,-2.159955957660e-001  
  1.440513607693e-008  ,-2.158368035039e-001  
  1.540519025755e-008  ,-2.146394791866e-001  
  1.553019703013e-008  ,-2.143887365837e-001  
  1.578021057528e-008  ,-2.137937626762e-001  
  1.628023766559e-008  ,-2.121630632848e-001  
  1.728029184622e-008  ,-2.063796503286e-001  
  1.828034602684e-008  ,-1.959100754862e-001  
  1.928040020746e-008  ,-1.793857181471e-001  
  1.940540698004e-008  ,-1.767876167100e-001  
  1.965542052519e-008  ,-1.711639410523e-001  
  2.015544761550e-008  ,-1.580119902647e-001  
  2.028045438808e-008  ,-1.543183631566e-001  
  2.053046793324e-008  ,-1.463833700367e-001  
  2.103049502355e-008  ,-1.280977369164e-001  
  2.185350478274e-008  ,-8.988589239120e-002  
  2.271413997394e-008  ,-3.769365819813e-002  
  2.371419415456e-008  ,4.261478537117e-002  
  2.456309468132e-008  ,1.310715942340e-001  
  2.540650040490e-008  ,2.395425514612e-001  
  2.640655458552e-008  ,4.002379334667e-001  
  2.740660876614e-008  ,6.013040646716e-001  
  2.753161553872e-008  ,6.293074769309e-001  
  2.778162908387e-008  ,6.874071125437e-001  
  2.796030331981e-008  ,7.306440795515e-001  
  2.817678925228e-008  ,7.849419997644e-001  
  2.843769927156e-008  ,8.531251899431e-001  
  2.854541836885e-008  ,8.821300681298e-001  
  2.857609962691e-008  ,8.904819367771e-001  
  2.863277060558e-008  ,9.060122790287e-001  
  2.870908084904e-008  ,9.271332988569e-001  
  2.878452961911e-008  ,9.482465218805e-001  
  2.889405315389e-008  ,9.792925659112e-001  
  2.899309930970e-008  ,1.007765604126e+000  
  2.919119162132e-008  ,1.065773067485e+000  
  2.930000000000e-008  ,1.098210941368e+000  
  2.940000000000e-008  ,1.128357359323e+000  
  2.990000000965e-008  ,1.251690992414e+000  
  3.000000000965e-008  ,1.283150457482e+000  
  3.014628750306e-008  ,1.329551507658e+000  
  3.025379705276e-008  ,1.363910662928e+000  
  3.037531136569e-008  ,1.402975472733e+000  
  3.040000000000e-008  ,1.410941556708e+000  
  3.050000000000e-008  ,1.443291139130e+000  
  3.060000000000e-008  ,1.475764520180e+000  
  3.110000000965e-008  ,1.516508270837e+000  
  3.110390647129e-008  ,1.517784000318e+000  
  3.111171939458e-008  ,1.520335867042e+000  
  3.112499074127e-008  ,1.524671799454e+000  
  3.113929963951e-008  ,1.529348423955e+000  
  3.115311231745e-008  ,1.533864504292e+000  
  3.118073767332e-008  ,1.542901331374e+000  
  3.123424215523e-008  ,1.560420599306e+000  
  3.134125111905e-008  ,1.595518284056e+000  
