  Time                 , V(VOUT)              
  0.000000000000e+000  ,-2.575381261134e-001  
  1.000000000000e-011  ,-2.575381261135e-001  
  2.000000000000e-011  ,-2.575381261091e-001  
  3.543667167425e-011  ,-2.575381260968e-001  
  6.631001502275e-011  ,-2.575381260413e-001  
  1.280567017198e-010  ,-2.575381258792e-001  
  2.424231138825e-010  ,-2.575381254483e-001  
  3.952764314413e-010  ,-2.575381247955e-001  
  7.009830665588e-010  ,-2.575381225040e-001  
  1.312396336794e-009  ,-2.575380886451e-001  
  2.312450517416e-009  ,-2.575377243900e-001  
  3.312504698038e-009  ,-2.575365817981e-001  
  4.312558878660e-009  ,-2.575343924300e-001  
  5.312613059282e-009  ,-2.575313851408e-001  
  6.312667239904e-009  ,-2.575278028195e-001  
  7.312721420527e-009  ,-2.575239952110e-001  
  8.312775601149e-009  ,-2.575201349118e-001  
  9.312829781771e-009  ,-2.575164162291e-001  
  1.031288396239e-008  ,-2.575131450270e-001  
  1.131293814301e-008  ,-2.575105850761e-001  
  1.231299232364e-008  ,-2.575086519462e-001  
  1.331304650426e-008  ,-2.575065648786e-001  
  1.431310068488e-008  ,-2.575024545508e-001  
  1.531315486550e-008  ,-2.574929053938e-001  
  1.631320904613e-008  ,-2.574724322599e-001  
  1.731326322675e-008  ,-2.574329455479e-001  
  1.831331740737e-008  ,-2.573632449492e-001  
  1.931337158799e-008  ,-2.572485555453e-001  
  2.031342576861e-008  ,-2.570660718303e-001  
  2.131347994924e-008  ,-2.567937463054e-001  
  2.231353412986e-008  ,-2.564038819298e-001  
  2.331358831048e-008  ,-2.558635784945e-001  
  2.431364249110e-008  ,-2.551449388443e-001  
  2.531369667172e-008  ,-2.541971650420e-001  
  2.631375085235e-008  ,-2.529627685999e-001  
  2.731380503297e-008  ,-2.513926765849e-001  
  2.831385921359e-008  ,-2.494298923748e-001  
  2.931391339421e-008  ,-2.470279777574e-001  
  3.031396757483e-008  ,-2.440935154090e-001  
  3.131402175546e-008  ,-2.405782734570e-001  
  3.231407593608e-008  ,-2.363955040313e-001  
  3.331413011670e-008  ,-2.314531827185e-001  
  3.431418429732e-008  ,-2.256787360765e-001  
  3.531423847795e-008  ,-2.189922310414e-001  
  3.631429265857e-008  ,-2.113314683729e-001  
  3.731434683919e-008  ,-2.025774363015e-001  
  3.831440101981e-008  ,-1.926546547438e-001  
  3.931445520043e-008  ,-1.814820813623e-001  
  4.031450938106e-008  ,-1.689981220732e-001  
  4.131456356168e-008  ,-1.550879292316e-001  
  4.231461774230e-008  ,-1.396824477736e-001  
  4.331467192292e-008  ,-1.227098570826e-001  
  4.431472610354e-008  ,-1.041181388968e-001  
  4.531478028417e-008  ,-8.381138982270e-002  
  4.631483446479e-008  ,-6.173249670532e-002  
  4.731488864541e-008  ,-3.781555130846e-002  
  4.831494282603e-008  ,-1.201671161042e-002  
  4.931499700665e-008  ,1.571569949832e-002  
  5.031505118728e-008  ,4.540965120192e-002  
  5.131510536790e-008  ,7.710109375596e-002  
